"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.endothelial","log2fold_change","Auc"
"1982","NXN","hurdle",0.0516355295972259,1.547273,4.722466,3.175193,0.539
"1932","NOLC1","hurdle",0.850070517928777,6.774141,7.349171,0.57503,0.539
"1847","MX2","hurdle",0.19430297892952,1.450993,6.442943,4.99195,0.539
"1790","MKL2","hurdle",0.378541420192531,5.934169,6.896635,0.962466,0.539
"1766","MIR29B2","hurdle",0.0444742520318817,-2.51069,1.035624,3.546314,0.539
"1624","LOC729862","hurdle",0.265041542195243,-2.709999,-1.321928,1.388071,0.539
"1248","HS1BP3","hurdle",0.445117795261151,0.9317187,2.0179219,1.0862032,0.539
"914","F13A1","hurdle",0.180519800341397,-0.3050147,3.3001237,3.6051384,0.539
"616","COL8A1","hurdle",0.272129067693046,-2.479993,-1.736966,0.743027,0.539
"586","CMTM8","hurdle",0.272923686127194,-0.8066746,0.5849625,1.3916371,0.539
"496","CDCA7L","hurdle",0.249142596785667,2.56716,3.733354,1.166194,0.539
"373","C7orf31","hurdle",0.233239502611751,0.08714256,3.30742853,3.22028597,0.539
"363","C5orf56","hurdle",0.0832255304209383,0.9144923,3.2016339,2.2871416,0.539
"346","C2orf66","hurdle",0.269605130545138,0.06649541,1.26303441,1.196539,0.539
"61","AGAP8","hurdle",0.385000125809135,0.6029964,1.722466,1.1194696,0.539
"3190","WASL","hurdle",0.453242135540156,5.584906,6.265849,0.680943,0.538
"3172","VGLL3","hurdle",0.000164223776216574,-2.255433,4.655352,6.910785,0.538
"3148","USP16","hurdle",0.0681511322420912,6.488613,7.508587,1.019974,0.538
"2865","SUPT6H","hurdle",0.51893783401055,4.194069,5.274262,1.080193,0.538
"2291","RAB27A","hurdle",0.112748711506445,0.8312654,2.5484366,1.7171712,0.538
"2211","PRIM2","hurdle",0.64521709472217,2.279387,4.329124,2.049737,0.538
"2131","PKIG","hurdle",0.620548626655282,4.208276,5.201634,0.993358000000001,0.538
"2057","PCDHB9","hurdle",0.632099399305019,1.418775,2.797013,1.378238,0.538
"1688","MAP1LC3A","hurdle",0.443482860306321,-0.5700683,0.3219281,0.8919964,0.538
"1493","LIN9","hurdle",0.273033810754524,2.089063,5.987548,3.898485,0.538
"872","EMILIN3","hurdle",0.0438422323808164,-1.47242,2.432959,3.905379,0.538
"695","CXorf36","hurdle",0.0659597488137021,-1.83068,0.4854268,2.3161068,0.538
"510","CDRT1","hurdle",0.122201362072731,-1.03304,1.169925,2.202965,0.538
"285","C12orf44","hurdle",0.0961419995284256,2.056714,5.827819,3.771105,0.538
"236","BHMT2","hurdle",0.482320153149247,1.877189,2.990955,1.113766,0.538
"137","ARF6","hurdle",0.636575060798509,7.201726,8.037821,0.836094999999999,0.538
"128","APOBEC3F","hurdle",0.000144088629397895,-2.783062,2.307429,5.090491,0.538
"43","ADCY9","hurdle",0.499552822253167,2.229182,2.797013,0.567831,0.538
"20","ACLY","hurdle",0.86374013011722,6.118549,7.530211,1.411662,0.538
"3054","TRIM22","hurdle",0.219560251302386,3.723909,6.210428,2.486519,0.537
"3008","TMEM59","hurdle",0.886514485470516,7.516429,8.021535,0.505106,0.537
"2797","SPESP1","hurdle",0.333722947737283,1.375367,3.336283,1.960916,0.537
"2736","SNORD22","hurdle",0.249332328520828,0.3446141,1.6553518,1.3107377,0.537
"2284","PYGO2","hurdle",0.294228765105172,1.975983,4.620586,2.644603,0.537
"2225","PRMT10","hurdle",0.02375344799209,3.862854,6.69279,2.829936,0.537
"2160","PMS2L2","hurdle",0.708714242444783,0.5066575,1.1043367,0.5976792,0.537
"2118","PIK3CA","hurdle",0.557356863499498,5.702898,6.321026,0.618128,0.537
"1638","LPXN","hurdle",0.708536785464429,4.290975,4.815063,0.524088,0.537
"1626","LOC730102","hurdle",0.212531073025078,2.86491,5.487036,2.622126,0.537
"1105","GGCX","hurdle",0.791913556860649,4.826956,5.44791,0.620954,0.537
"1028","FMO3","hurdle",0.223889877255424,-1.315139,2.655352,3.970491,0.537
"755","DISC1","hurdle",0.313904823509189,1.17053,4.031219,2.860689,0.537
"636","CRABP2","hurdle",0.0691242369613583,1.339245,4.083213,2.743968,0.537
"591","CNOT4","hurdle",0.588997488773542,6.020901,7.482203,1.461302,0.537
"570","CLEC9A","hurdle",0.148448992128754,0.8999782,3.3504972,2.450519,0.537
"499","CDH23","hurdle",0.483617632531367,1.458937,2.722466,1.263529,0.537
"184","ATP13A3","hurdle",0.0794584491456969,5.985509,6.499846,0.514336999999999,0.537
"3050","TRAM2","hurdle",0.428872946324044,0.9459186,2.6205864,1.6746678,0.536
"3016","TMOD3","hurdle",0.351936855034913,4.453356,5.179909,0.726553,0.536
"2927","TECPR1","hurdle",0.647360065597325,0.9794387,3.523562,2.5441233,0.536
"2742","SNORD30","hurdle",0.106221520632555,-1.384513,1.104337,2.48885,0.536
"2379","RNASE4","hurdle",0.0202794647699081,1.257352,6.45697,5.199618,0.536
"2197","PPP1R3B","hurdle",0.096149294933659,0.1424443,5.5939513,5.451507,0.536
"2181","PPAN","hurdle",0.00105245143724063,-2.391637,1.887525,4.279162,0.536
"2132","PKNOX1","hurdle",0.704256801293288,4.488219,5.093814,0.605595,0.536
"1971","NUDT2","hurdle",0.12368657859351,2.914131,4.773469,1.859338,0.536
"1928","NNMT","hurdle",0.129759712859645,2.512871,5.839204,3.326333,0.536
"1893","NEK2","hurdle",0.234092474228822,-0.5460228,1.1043367,1.6503595,0.536
"1741","MFI2","hurdle",0.316090693920186,-1.1611053,-0.3219281,0.8391772,0.536
"1687","MANF","hurdle",0.563128765463063,1.802681,2.336283,0.533602,0.536
"1665","LTBR","hurdle",0.593743798712369,-0.1641522,1.2927817,1.4569339,0.536
"1451","KSR1","hurdle",0.572895235634762,0.6695403,2.3219281,1.6523878,0.536
"1390","KCNMB1","hurdle",0.190878992987861,-1.0898466,0.9634741,2.0533207,0.536
"1246","HPGD","hurdle",0.19488831296595,-1.398797,1,2.398797,0.536
"1080","GALNTL2","hurdle",0.735030042683758,4.156403,5.419539,1.263136,0.536
"1017","FLJ31485","hurdle",0.163173735580487,1.515254,6.303781,4.788527,0.536
"795","DRAM1","hurdle",0.0813795359366898,1.805799,3.548437,1.742638,0.536
"464","CCRN4L","hurdle",0.183596994025939,2.577229,3.638074,1.060845,0.536
"432","CCDC134","hurdle",0.168426515501553,-0.9891526,1.6088092,2.5979618,0.536
"278","C11orf75","hurdle",0.199086188155914,-0.4388238,1.8678965,2.3067203,0.536
"170","ASS1","hurdle",0.658793380516265,4.069579,4.880196,0.810617,0.536
"149","ARHGEF2","hurdle",0.297616431351889,2.201042,3.357552,1.15651,0.536
"3280","ZNF394","hurdle",0.472085600820799,3.445757,5.074677,1.62892,0.535
"3043","TPI1P3","hurdle",0.395674750631561,-2.941324,-2.321928,0.619396,0.535
"2972","TLE1","hurdle",0.525807644930795,3.854222,5.809929,1.955707,0.535
"2888","TAF1D","hurdle",0.289543893812189,5.904484,6.654636,0.750152,0.535
"2722","SNORD10","hurdle",0.486856647279635,-0.09856383,2.5849625,2.68352633,0.535
"2439","RPLP0P2","hurdle",0.288782406205842,-2.363348,-1.514573,0.848775,0.535
"2321","RASGRP4","hurdle",0.391905544916257,-2.674809,-2,0.674809,0.535
"2276","PTRH2","hurdle",0.0162117453095329,3.611261,5.33985,1.728589,0.535
"2177","POTEKP","hurdle",0.379014619578355,-2.900101,-2.321928,0.578173,0.535
"2126","PIWIL4","hurdle",0.603450675116167,1.91377,2.560715,0.646945,0.535
"1923","NLRP1","hurdle",0.39352608342511,-1.1369592,-0.3219281,0.8150311,0.535
"1876","NAPRT1","hurdle",0.389887539719234,-1.5341487,-0.6214884,0.9126603,0.535
"1874","NAIF1","hurdle",0.191483765790174,0.7751102,5.0574503,4.2823401,0.535
"947","FAM193A","hurdle",0.648224558662683,5.176037,6.646019,1.469982,0.535
"781","DNMBP","hurdle",0.63460932913189,3.352364,3.963474,0.61111,0.535
"749","DHRS4L2","hurdle",0.14529106646577,0.265301,2.364572,2.099271,0.535
"375","C7orf53","hurdle",0.201590724800792,1.123829,3.916477,2.792648,0.535
"318","C1orf198","hurdle",0.831104313018535,7.259681,8.68825,1.428569,0.535
"316","C1orf133","hurdle",0.323024677177911,-1.3703684,0.3785116,1.74888,0.535
"3253","ZHX1","hurdle",0.265315357322976,5.488037,6.257388,0.769350999999999,0.534
"2641","SLC39A10","hurdle",0.199753512776823,7.495976,8.663202,1.167226,0.534
"2508","SCNM1","hurdle",0.0398269935014439,1.113801,3.121015,2.007214,0.534
"2267","PTPN1","hurdle",0.00643833107273667,3.957704,5.289097,1.331393,0.534
"2237","PRRC1","hurdle",0.743622448031818,4.574833,5.277985,0.703152,0.534
"1657","LRRFIP1","hurdle",0.372033590643001,6.061654,6.643135,0.581481,0.534
"1521","LOC100129034","hurdle",0.737711203451806,4.076695,6.126188,2.049493,0.534
"971","FAM78A","hurdle",0.127067577785505,-2.22967,1.137504,3.367174,0.534
"323","C1orf55","hurdle",0.804959429893568,3.612597,4.482203,0.869606,0.534
"291","C14orf166","hurdle",0.775021267445892,5.155868,5.760221,0.604353,0.534
"106","ANPEP","hurdle",0.0805388486823804,-0.5781733,2.0356239,2.6137972,0.534
"66","AHCY","hurdle",0.230107327164543,4.635886,7.206526,2.57064,0.534
"3182","VTRNA1-3","hurdle",0.4548359570632,-2.155031,-1.152003,1.003028,0.533
"2862","SULT1C4","hurdle",0.573213472457785,1.997957,3.817623,1.819666,0.533
"2819","SSC5D","hurdle",0.0998323336151022,-0.7234191,1.9818527,2.7052718,0.533
"2674","SMAD7","hurdle",0.560299878885639,1.639276,2.990955,1.351679,0.533
"2657","SLC7A5P1","hurdle",0.455659015724987,-1.7924607,-0.7369656,1.0554951,0.533
"2468","RPS9","hurdle",0.802452757340912,3.183472,3.930737,0.747265,0.533
"2148","PLK2","hurdle",0.0272613255909167,7.014326,7.979568,0.965242000000001,0.533
"1970","NUDT1","hurdle",0.562329442245553,0.3010906,1.2927817,0.9916911,0.533
"1969","NUCB2","hurdle",0.677194457535415,5.601932,6.718362,1.11643,0.533
"1939","NOX4","hurdle",0.377581476208611,-2.1794838,-0.2344653,1.9450185,0.533
"1919","NKAPP1","hurdle",0.0738500831954167,1.049499,3.990955,2.941456,0.533
"1644","LRP10","hurdle",0.530369137283194,0.9794387,2.6553518,1.6759131,0.533
"1631","LOXL2","hurdle",0.100362842062482,-0.7055526,1.3504972,2.0560498,0.533
"1486","LGALSL","hurdle",0.461131176458408,5.913635,7.481396,1.567761,0.533
"1483","LGALS3BP","hurdle",0.86437410239328,6.027593,7.179909,1.152316,0.533
"1262","HSPG2","hurdle",0.125459032535329,-1.648969,2,3.648969,0.533
"1224","HIST2H2BA","hurdle",0.439673897519372,-0.5781733,0.6780719,1.2562452,0.533
"998","FERMT1","hurdle",0.0278094848602794,0.5369912,4.7813597,4.2443685,0.533
"856","EIF3IP1","hurdle",0.455688319164448,-2.900101,-2.321928,0.578173,0.533
"744","DEK","hurdle",0.600818714030517,5.600137,7.147714,1.547577,0.533
"446","CCDC86","hurdle",0.48939804036642,1.341395,2.459432,1.118037,0.533
"73","AJUBA","hurdle",0.0681248102471273,-2.363348,4.972693,7.336041,0.533
"8","ABHD1","hurdle",0.0745356781130789,-0.9154222,2.1538053,3.0692275,0.533
"4","ABCA6","hurdle",0.230022383907224,3.311821,4.209453,0.897632,0.533
"3258","ZIC5","hurdle",0.528886298736354,2.11945,2.963474,0.844024,0.532
"3225","YIPF5","hurdle",0.528484945768946,5.479765,5.984134,0.504369,0.532
"2859","SULF2","hurdle",0.239935852483763,4.628201,6.461889,1.833688,0.532
"2844","STC1","hurdle",0.132278133286311,2.622135,4.232661,1.610526,0.532
"2619","SLC24A1","hurdle",0.304422994426815,2.432455,4.251719,1.819264,0.532
"2542","SERPIND1","hurdle",0.191050659677216,0.9683516,4.5728897,3.6045381,0.532
"2537","SEPX1","hurdle",0.677773544974897,2.820901,4.035624,1.214723,0.532
"2495","SAMD11","hurdle",0.306694765191106,0.386863,1.432959,1.046096,0.532
"2312","RAP1B","hurdle",0.806574820677477,3.898701,5.118941,1.22024,0.532
"2303","RAI2","hurdle",0.344674338917357,1.017586,4.371559,3.353973,0.532
"1653","LRRC70","hurdle",0.107309024421194,0.9904412,4.6976626,3.7072214,0.532
"1356","ITGA11","hurdle",0.136692828123674,-0.5620085,2.6667566,3.2287651,0.532
"1229","HK2","hurdle",0.391524740379479,1.690775,2.678072,0.987297,0.532
"929","FAM114A1","hurdle",0.801655180983307,4.289584,4.842979,0.553395,0.532
"705","CYSLTR1","hurdle",0.273612145098226,0.8675235,4.169925,3.3024015,0.532
"659","CSNK1G2","hurdle",0.11817081321797,1.006789,2.292782,1.285993,0.532
"621","COPZ2","hurdle",0.239473405308224,-0.2328649,0.8479969,1.0808618,0.532
"199","AXL","hurdle",0.44149947212277,8.945593,9.646739,0.701146,0.532
"152","ARL1","hurdle",0.0958464192879809,6.369223,7.394463,1.02524,0.532
"101","ANKS1A","hurdle",0.692446032241042,4.943355,6.37417,1.430815,0.532
"38","ADAR","hurdle",0.063631303911083,7.307652,8.976707,1.669055,0.532
"3287","ZNF543","hurdle",0.660842860166274,3.789158,4.620586,0.831428,0.531
"2974","TLR3","hurdle",0.514289914564337,1.067795,2.070389,1.002594,0.531
"2962","TICAM1","hurdle",0.184777192069362,-1.8899772,-0.3219281,1.5680491,0.531
"2746","SNORD35A","hurdle",0.490770914756372,-2.281664,-1.736966,0.544698,0.531
"2723","SNORD104","hurdle",0.115020336149621,-2.2554327,-0.5145732,1.7408595,0.531
"2203","PRADC1","hurdle",0.312114742855945,1.687399,3.371559,1.68416,0.531
"2190","PPP1R12A","hurdle",0.932682806109729,8.047762,8.618386,0.570623999999999,0.531
"2048","PC","hurdle",0.661425958398558,1.547273,2.153805,0.606532,0.531
"1797","MLLT6","hurdle",0.51264564570113,3.706082,5.332708,1.626626,0.531
"1662","LSS","hurdle",0.591949291176322,4.852055,6.557655,1.7056,0.531
"1460","LAMP1","hurdle",0.249755430982629,3.143369,3.944858,0.801489,0.531
"698","CYB5A","hurdle",0.916763330464831,4.584395,5.171927,0.587532,0.531
"24","ACSM5","hurdle",0.0493757262093854,-1.173332,3.300124,4.473456,0.531
"3277","ZNF358","hurdle",0.5135917351,-0.8452774,-0.2344653,0.6108121,0.53
"2997","TMEM173","hurdle",0.509192810383872,2.14921,2.678072,0.528862,0.53
"2871","SUZ12","hurdle",0.410951519666084,4.938215,6.776762,1.838547,0.53
"2840","STARD9","hurdle",0.777290611106617,4.089543,5.714246,1.624703,0.53
"2831","ST8SIA6","hurdle",0.354269910839376,-0.8649732,-0.1520031,0.7129701,0.53
"2756","SNORD76","hurdle",0.0668848790801196,-1.398797,1.350497,2.749294,0.53
"2646","SLC43A3","hurdle",0.0870487297844871,2.400847,6.835419,4.434572,0.53
"2613","SLC19A3","hurdle",0.428958179213476,0.803461,3.548437,2.744976,0.53
"1958","NRP1","hurdle",0.538413293824826,5.35629,6.3733,1.01701,0.53
"1931","NODAL","hurdle",0.483930305523653,-0.1459667,2.7004397,2.8464064,0.53
"1904","NFKB2","hurdle",0.548867179068126,-0.2264813,0.4854268,0.7119081,0.53
"1883","NDC80","hurdle",0.363529408114937,-2.1794838,-0.2344653,1.9450185,0.53
"1781","MIR555","hurdle",0.452426447718212,0.1024363,1.8073549,1.7049186,0.53
"1752","MID1","hurdle",0.029519147268298,4.604452,6.807999,2.203547,0.53
"1673","LYN","hurdle",0.711782742359472,3.157471,4.217231,1.05976,0.53
"1281","IFI27L1","hurdle",0.51468499683527,2.384258,3.981853,1.597595,0.53
"1196","HDGFRP2","hurdle",0.791524768978582,0.05081379,1.48542683,1.43461304,0.53
"1064","FURIN","hurdle",0.160015351747422,0.455963,3.321928,2.865965,0.53
"1019","FLJ33065","hurdle",0.646660785146959,1.472733,2.419539,0.946806,0.53
"900","ESYT1","hurdle",0.339107325467331,4.189601,5.704595,1.514994,0.53
"720","DCHS1","hurdle",0.783993504763778,2.869387,3.949535,1.080148,0.53
"442","CCDC71","hurdle",0.285660898564601,-1.161105,1.104337,2.265442,0.53
"388","C9orf21","hurdle",0.673665076226483,2.356888,3.887525,1.530637,0.53
"125","APH1A","hurdle",0.202267990664111,2.124453,4.649615,2.525162,0.53
"77","AKAP8","hurdle",0.29818588596301,4.855068,6.557655,1.702587,0.53
"2870","SUV39H1","hurdle",0.352059705351725,2.51573,5.987548,3.471818,0.529
"2597","SLC12A1","hurdle",0.156048936582955,1.515254,3.83289,2.317636,0.529
"2535","SEPT10","hurdle",0.799214729791669,4.033797,4.857981,0.824184,0.529
"2520","SEC31A","hurdle",0.6416050851475,7.262946,7.878358,0.615412,0.529
"2052","PCBP3","hurdle",0.145459027729831,0.6278711,3.4789718,2.8511007,0.529
"1733","METTL21B","hurdle",0.0028302548323424,2.398784,6.575917,4.177133,0.529
"1415","KIAA1549","hurdle",0.754124702320468,4.69803,6.44791,1.74988,0.529
"1300","IGF2R","hurdle",0.801257006807985,4.105444,4.909293,0.803849,0.529
"1191","HBP1","hurdle",0.00321270664885267,6.039312,7.545351,1.506039,0.529
"1089","GATSL3","hurdle",0.618980441369263,2.462398,3.240314,0.777916,0.529
"315","C1orf123","hurdle",0.0210682263687974,4.976761,5.904484,0.927723,0.529
"248","BNIP2","hurdle",0.501824937154518,4.998723,5.835419,0.836696,0.529
"3201","WDR66","hurdle",0.37092888993653,1.00136,3.061776,2.060416,0.528
"2683","SMCR8","hurdle",0.457591018900212,2.580874,4.749534,2.16866,0.528
"2071","PDE4C","hurdle",0.0111278540347592,1.414697,4.776104,3.361407,0.528
"1671","LYAR","hurdle",0.645169216056621,2.272643,3.882643,1.61,0.528
"1138","GOLPH3L","hurdle",0.137856080684302,4.747712,5.918863,1.171151,0.528
"1069","FZD5","hurdle",0.781885616348901,3.760522,5.321928,1.561406,0.528
"990","FBXO5","hurdle",0.389022759731788,-0.3809636,0.7655347,1.1464983,0.528
"385","C9orf131","hurdle",0.470651833376462,0.1473681,0.8479969,0.7006288,0.528
"136","ARF4","hurdle",0.0942336593224298,7.396379,8.338291,0.941912,0.528
"107","ANTXR2","hurdle",0.0435099000721511,1.704204,6.200653,4.496449,0.528
"3243","ZFAND3","hurdle",0.58359487509286,1.550994,2.307429,0.756435,0.527
"3071","TRPC4AP","hurdle",0.870690132100227,4.355692,5.394034,1.038342,0.527
"2853","STX17","hurdle",0.1448313234125,5.525159,6.546894,1.021735,0.527
"2680","SMC4","hurdle",0.66773361247961,4.692777,6.641691,1.948914,0.527
"2316","RARA","hurdle",0.024785195073543,-2.22967,1,3.22967,0.527
"2153","PLS3","hurdle",0.449940977253612,7.782213,8.874059,1.091846,0.527
"2141","PLCG2","hurdle",0.620371897072178,1.088423,2.053111,0.964688,0.527
"2110","PIBF1","hurdle",0.0695961361974521,3.981336,6.717676,2.73634,0.527
"1681","MAGOH","hurdle",0.668541920737633,2.693724,3.608809,0.915085,0.527
"1517","LOC100128054","hurdle",0.227150890666318,-0.2783591,1.7865964,2.0649555,0.527
"1450","KRTCAP3","hurdle",0.0545888217403073,-0.3598506,3.6610655,4.0209161,0.527
"1433","KLF7","hurdle",0.172877597913004,3.634681,4.640968,1.006287,0.527
"1274","IDI2","hurdle",0.722890084988248,1.816658,2.722466,0.905808,0.527
"1243","HNRNPUL1","hurdle",0.0662575448858151,3.150744,5.345183,2.194439,0.527
"815","E2F6","hurdle",0.597574285074349,1.558406,2.548437,0.990031,0.527
"631","CPS1","hurdle",0.683867980650948,3.160518,5.682292,2.521774,0.527
"618","COMMD3","hurdle",0.940377830504429,5.093136,5.911692,0.818556,0.527
"585","CMTM3","hurdle",0.1264320788126,1.611039,4.672425,3.061386,0.527
"487","CDAN1","hurdle",0.708835137189895,3.187063,3.995485,0.808422,0.527
"328","C1QTNF7","hurdle",0.097369285300633,-0.6110567,1.4854268,2.0964835,0.527
"207","BAAT","hurdle",0.147298797607789,0.2470677,2.1375035,1.8904358,0.527
"2835","STARD10","hurdle",0.672512549886322,1.85328,4.017922,2.164642,0.526
"2685","SMPD1","hurdle",0.411645216007919,3.524981,4.963474,1.438493,0.526
"2621","SLC25A28","hurdle",0.890249536668946,4.891841,5.412782,0.520941,0.526
"2595","SLC10A3","hurdle",0.672816020380063,1.938126,4.548437,2.610311,0.526
"2531","SEMA5A","hurdle",0.863663368771438,6.796891,7.541097,0.744206,0.526
"2494","S1PR5","hurdle",0.353470020588144,0.08714256,2.57288967,2.48574711,0.526
"2089","PGAP2","hurdle",0.378285926067334,3.364044,5.76686,2.402816,0.526
"2078","PDLIM2","hurdle",0.361745462503957,1.644509,3.209453,1.564944,0.526
"1926","NME6","hurdle",0.289779543770037,2.941319,3.465974,0.524655,0.526
"1719","MCTP2","hurdle",0.635327288615886,1.628752,2.711495,1.082743,0.526
"1391","KCNMB3","hurdle",0.276347076215544,1.866777,4.703211,2.836434,0.526
"1251","HSDL2","hurdle",0.842896259419266,5.880196,6.430453,0.550257,0.526
"1220","HIST1H2BB","hurdle",0.491541922750611,2.474203,4.181898,1.707695,0.526
"924","FAM100B","hurdle",0.49039475179561,-0.03582808,1.20163386,1.23746194,0.526
"771","DNAJB4","hurdle",0.0817170767926982,7.54347,8.331365,0.787895,0.526
"606","COL27A1","hurdle",0.434955208755001,-1.910297,-1,0.910297,0.526
"3296","ZNF619","hurdle",0.634575247596614,0.2698236,1.1043367,0.8345131,0.525
"3196","WDR26","hurdle",0.128630779099476,6.489644,7.28494,0.795296,0.525
"2951","TGIF2-C20ORF24","hurdle",0.0431117248994067,-3.321928,-2.736966,0.584962,0.525
"2795","SPC24","hurdle",0.0431117248994069,-3.3219281,0.6322682,3.9541963,0.525
"2744","SNORD33","hurdle",0.0431117248994077,-3.321928,-2,1.321928,0.525
"2523","SECTM1","hurdle",0.0431117248994053,-3.321928,2.925999,6.247927,0.525
"2322","RASIP1","hurdle",0.349624506477815,-1.1980995,0.1375035,1.335603,0.525
"2011","OR6Q1","hurdle",0.0431117248994053,-3.321928,-2.736966,0.584962,0.525
"2010","OR52A1","hurdle",0.0431117248994083,-3.321928,-2.736966,0.584962,0.525
"2008","OR4C46","hurdle",0.0431117248994064,-3.321928,-2.736966,0.584962,0.525
"2007","OR2M5","hurdle",0.0431117248994083,-3.321928,-2.736966,0.584962,0.525
"2005","OR2A20P","hurdle",0.0431117248994064,-3.321928,-2.736966,0.584962,0.525
"1938","NOTCH4","hurdle",0.0431117248994053,-3.321928,-1,2.321928,0.525
"1808","MPDU1","hurdle",0.440392080437298,2.466344,3.566815,1.100471,0.525
"1788","MIR874","hurdle",0.0431117248994079,-3.321928,-2.736966,0.584962,0.525
"1776","MIR488","hurdle",0.0431117248994083,-3.321928,-2.736966,0.584962,0.525
"1774","MIR4514","hurdle",0.0431117248994079,-3.321928,-2,1.321928,0.525
"1762","MIR192","hurdle",0.0431117248994079,-3.321928,-2,1.321928,0.525
"1760","MIR15B","hurdle",0.0431117248994094,-3.321928,-2.321928,1,0.525
"1714","MCART2","hurdle",0.0431117248994079,-3.321928,-2.736966,0.584962,0.525
"1682","MALL","hurdle",0.0431117248994067,-3.321928,-1.736966,1.584962,0.525
"1614","LOC646268","hurdle",0.0431117248994064,-3.321928,1.350497,4.672425,0.525
"1505","LINC00410","hurdle",0.0431117248994083,-3.321928,-2.321928,1,0.525
"1494","LINC00028","hurdle",0.0431117248994071,-3.321928,1.722466,5.044394,0.525
"1471","LCN6","hurdle",0.0431117248994067,-3.3219281,0.4329594,3.7548875,0.525
"1448","KRTAP19-8","hurdle",0.0431117248994067,-3.321928,-1,2.321928,0.525
"1336","IQCF2","hurdle",0.0431117248994067,-3.321928,-2.736966,0.584962,0.525
"1313","IL2RG","hurdle",0.0431117248994094,-3.321928,-2.736966,0.584962,0.525
"1219","HIST1H2AG","hurdle",0.0431117248994067,-3.321928,-2,1.321928,0.525
"1181","GZMA","hurdle",0.0431117248994069,-3.321928,2.925999,6.247927,0.525
"1160","GRAP","hurdle",0.0431117248994067,-3.321928,-2.321928,1,0.525
"1132","GNGT1","hurdle",0.0431117248994069,-3.321928,-2,1.321928,0.525
"1003","FHL2","hurdle",0.401880231123047,2.355825,5.920055,3.56423,0.525
"979","FBLIM1","hurdle",0.0963539712146237,-0.4991018,3.0179219,3.5170237,0.525
"976","FAT4","hurdle",0.550639233359663,4.25436,5.563768,1.309408,0.525
"808","DUSP2","hurdle",0.303909555306192,0.6029964,2.0179219,1.4149255,0.525
"803","DTX2P1-UPK3BP1-PMS2P11","hurdle",0.383037770742137,-1.6152203,-0.7369656,0.8782547,0.525
"784","DOCK1","hurdle",0.290003036013568,5.421382,6.914086,1.492704,0.525
"742","DEFB124","hurdle",0.0431117248994081,-3.321928,-2.736966,0.584962,0.525
"725","DDAH2","hurdle",0.0431117248994066,-3.321928,-1.152003,2.169925,0.525
"656","CSF3","hurdle",0.0431117248994086,-3.321928,3.683696,7.005624,0.525
"534","CFHR3","hurdle",0.0431117248994081,-3.321928,-2.736966,0.584962,0.525
"474","CD4","hurdle",0.177743964762007,3.036619,4.738768,1.702149,0.525
"330","C1RL","hurdle",0.556269015663461,-0.345945,1.201634,1.547579,0.525
"216","BATF","hurdle",0.0431117248994067,-3.3219281,-0.4150375,2.9068906,0.525
"175","ATG16L2","hurdle",0.730217879802591,1.621693,2.776104,1.154411,0.525
"92","ALX4","hurdle",0.0431117248994094,-3.321928,-2,1.321928,0.525
"37","ADAMTSL4","hurdle",0.147864288667909,1.496081,3.744161,2.24808,0.525
"3233","ZBTB20-AS1","hurdle",0.621442952117476,2.605235,4.970394,2.365159,0.524
"3114","UBA1","hurdle",0.5585922915079,6.015357,6.786596,0.771239,0.524
"2942","TG","hurdle",0.0749506709102488,0.5407385,2.776104,2.2353655,0.524
"2600","SLC12A4","hurdle",0.584097178962161,0.617263,2.847997,2.230734,0.524
"2512","SCUBE3","hurdle",0.609219924211046,2.457451,3.247928,0.790477,0.524
"2188","PPIL4","hurdle",0.0548551752989523,6.639795,7.392317,0.752522,0.524
"2147","PLIN2","hurdle",0.832157770058054,5.410415,6.144658,0.734242999999999,0.524
"1759","MIR155HG","hurdle",0.504139991263431,1.539803,4.149747,2.609944,0.524
"1635","LPIN3","hurdle",0.198315403291766,1.747002,3.678072,1.93107,0.524
"1609","LOC613037","hurdle",0.45023940903426,1.172946,2.232661,1.059715,0.524
"1522","LOC100129138","hurdle",0.449884140639745,-2.391637,-1.321928,1.069709,0.524
"1067","FYCO1","hurdle",0.814022111246196,3.031302,3.666757,0.635455,0.524
"1011","FKBP9L","hurdle",0.589044356493724,-1.8114438,-0.7369656,1.0744782,0.524
"944","FAM162A","hurdle",0.28377839110128,5.194144,6.077884,0.88374,0.524
"934","FAM122C","hurdle",0.119281303475496,2.81085,5.973841,3.162991,0.524
"367","C6orf201","hurdle",0.0163417424359182,-2.084064,1.906891,3.990955,0.524
"3282","ZNF408","hurdle",0.0602456442119794,-0.5945213,6.6653359,7.2598572,0.523
"3275","ZNF347","hurdle",0.704361913371709,3.540505,4.578939,1.038434,0.523
"3271","ZNF280A","hurdle",0.11390106362499,-3.268489,-1.736966,1.531523,0.523
"3230","ZBED2","hurdle",0.113901063624997,-3.268489,-2.736966,0.531523,0.523
"3180","VPS4B","hurdle",0.959944655771915,5.57489,6.142618,0.567728,0.523
"3175","VMAC","hurdle",0.113901063624993,-3.268489,-2.736966,0.531523,0.523
"3124","UBE2S","hurdle",0.420770312710797,-0.2137982,0.4329594,0.6467576,0.523
"3111","TYW5","hurdle",0.904235748211031,4.264876,4.804776,0.5399,0.523
"3101","TWIST2","hurdle",0.113901063624993,-2.900101,1.035624,3.935725,0.523
