"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.endothelial","log2fold_change","Auc"
"1749","MGP","hurdle",1.02000273382986e-07,1.227439,6.127221,4.899782,0.711
"1275","IER2","hurdle",1.16043701756314e-05,2.109392,5.242221,3.132829,0.711
"669","CTDSP1","hurdle",2.12867240724676e-05,1.163256,3.770829,2.607573,0.711
"364","C5orf62","hurdle",1.78984389972888e-07,-0.2983045,5.8099289,6.1082334,0.711
"322","C1orf54","hurdle",0.000125479494866676,2.861169,5.449561,2.588392,0.711
"1955","NR4A3","hurdle",6.26312196447133e-05,4.222635,8.163146,3.940511,0.71
"693","CXCL2","hurdle",1.18159864277485e-05,4.599969,6.938403,2.338434,0.71
"2401","RPL13","hurdle",0.00602251117706438,5.019349,6.176921,1.157572,0.709
"2370","RHOB","hurdle",0.00419419903002719,6.181635,7.176423,0.994788,0.709
"2019","OST4","hurdle",0.00420179665286177,4.735706,5.753551,1.017845,0.709
"3045","TPM2","hurdle",2.64463188770203e-06,1.541674,6.422906,4.881232,0.708
"1491","LIMS2","hurdle",7.70538493932035e-07,-1.518467,2.336283,3.85475,0.708
"816","EBF1","hurdle",3.1368870945264e-08,-0.7506405,6.7983098,7.5489503,0.708
"709","CYYR1","hurdle",6.20965929091409e-07,0.1957042,6.0156938,5.8199896,0.708
"2891","TAGLN2","hurdle",4.75878914410983e-05,2.951208,5.499846,2.548638,0.707
"1846","MX1","hurdle",7.2190922402372e-06,1.804241,6.087463,4.283222,0.707
"1903","NFKB1","hurdle",0.000830933788936629,4.268271,7.046033,2.777762,0.706
"2661","SLCO1A2","hurdle",0.000917956727284858,6.048225,7.667112,1.618887,0.705
"2372","RHOC","hurdle",0.000807336356815931,3.759719,5.545351,1.785632,0.705
"809","DUSP5","hurdle",2.8604885026219e-05,2.711287,6.503031,3.791744,0.705
"692","CXCL12","hurdle",1.94246455134775e-05,2.42335,6.050937,3.627587,0.705
"204","B3GNT2","hurdle",3.96682818815738e-05,2.601652,8.23721,5.635558,0.705
"2628","SLC2A3","hurdle",0.000151914944350312,6.18036,9.033561,2.853201,0.704
"1453","LAMA2","hurdle",8.76021779857278e-05,2.717922,6.67948,3.961558,0.704
"1091","GBP2","hurdle",7.65373359415236e-05,4.192879,5.760221,1.567342,0.704
"822","ECM1","hurdle",3.10816390089482e-05,3.144601,6.613237,3.468636,0.704
"800","DSP","hurdle",5.79851223481448e-07,1.758311,5.482203,3.723892,0.704
"2376","RLIM","hurdle",0.00415473738909813,6.16337,7.478972,1.315602,0.703
"1374","JMJD1C","hurdle",0.0102430480151,8.115893,9.666579,1.550686,0.703
