"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.astrocytes","log2fold_change","Auc"
"3746","PLIN1","hurdle",0.000423477392198478,0.9109391,5.128751,4.2178119,0.579
"3519","PABPC1L","hurdle",3.09643941775196e-05,0.6881452,4.949083,4.2609378,0.579
"3414","NR2F1","hurdle",0.0859745189401535,3.801474,5.810344,2.00887,0.579
"2932","MBD1","hurdle",0.0924184145197571,3.919473,4.988465,1.068992,0.579
"2417","LEPREL4","hurdle",0.0181954183985782,2.011759,3.414747,1.402988,0.579
"2356","KLF4","hurdle",0.0866880594094307,6.506749,7.922532,1.415783,0.579
"2327","KIAA1279","hurdle",0.0200968732883247,5.378123,6.520067,1.141944,0.579
"2195","INPP5B","hurdle",0.102364140571781,4.564684,5.897631,1.332947,0.579
"1824","GLI2","hurdle",0.000562825601900765,-0.2828369,2.1129691,2.395806,0.579
"1440","ERI2","hurdle",0.0156165206009006,4.059528,5.164874,1.105346,0.579
"1273","DOK5","hurdle",0.0518604145548162,4.481407,5.82273,1.341323,0.579
"1203","DGAT2L6","hurdle",2.72261317680851e-06,-3.258642,-1.548204,1.710438,0.579
"296","ARL8A","hurdle",0.100863575437103,2.137651,2.947274,0.809623,0.579
"5379","ZCCHC11","hurdle",0.170071064290969,6.520908,7.269232,0.748323999999999,0.578
"4074","REXO2","hurdle",0.0402203354418389,5.341893,6.35931,1.017417,0.578
"3793","POLR2J3","hurdle",1.93396792292022e-05,-0.7641768,1.5472428,2.3114196,0.578
"3426","NSUN4","hurdle",0.00250139287022888,4.71512,5.87124,1.15612,0.578
"3326","NDUFB3","hurdle",0.0683534586019693,5.48469,6.273781,0.789091,0.578
"3250","MXD4","hurdle",0.0326346382792979,1.814362,2.831093,1.016731,0.578
"3187","MRPL44","hurdle",0.0188838483093254,4.301502,5.607664,1.306162,0.578
"2899","MAP4K4","hurdle",0.0586245318251541,6.741243,7.323847,0.582604,0.578
"2528","LOC100131691","hurdle",0.0222708832692023,1.496704,2.7365,1.239796,0.578
"2449","LINC00260","hurdle",0.000895023642150162,1.480567,5.419865,3.939298,0.578
"2222","IRF2BP2","hurdle",0.214276066566082,7.614852,8.132288,0.517436000000001,0.578
"1796","GDPD1","hurdle",0.0289143325997567,4.582615,5.452115,0.8695,0.578
"1766","GALNT2","hurdle",0.0155798392421105,2.532591,3.660882,1.128291,0.578
"1534","FAM18B1","hurdle",0.0792296520164398,3.865013,5.404015,1.539002,0.578
"1112","CYP20A1","hurdle",0.131554759845119,4.952588,5.975506,1.022918,0.578
"245","APLN","hurdle",0.00217992621099748,-0.1913518,2.3228586,2.5142104,0.578
"186","ALS2CR11","hurdle",0.00881630939137972,2.048192,3.414747,1.366555,0.578
"5485","ZNF385A","hurdle",0.00833815608735815,0.3195972,2.1396174,1.8200202,0.577
"4537","SNCAIP","hurdle",0.0194773097609066,2.681202,4.235875,1.554673,0.577
"3640","PEX12","hurdle",0.00688555809613851,3.845794,4.828147,0.982353,0.577
"3227","MTIF3","hurdle",0.0128932434994968,5.056945,6.080328,1.023383,0.577
"1858","GOLGA6L5","hurdle",0.00924497513162458,0.6515473,3.0770224,2.4254751,0.577
"1642","FGL1","hurdle",0.000179489209226397,-2.700763,2.623988,5.324751,0.577
"410","BCMO1","hurdle",0.00574828569595367,1.537391,3.87901,2.341619,0.577
"307","ARSJ","hurdle",6.83038388259445e-05,0.4484506,2.9351555,2.4867049,0.577
"246","APLNR","hurdle",2.01846483082952e-05,-1.491651,4.566619,6.05827,0.577
"167","ALDH3B1","hurdle",0.000847074138253626,-1.528503,1.237603,2.766106,0.577
"5631","ZRANB1","hurdle",0.17005802703494,5.566146,6.318492,0.752346,0.576
"4769","SYAP1","hurdle",0.0324752192003538,5.226021,6.018496,0.792475,0.576
"4332","SF3B1","hurdle",0.0908597131346763,8.266835,8.968072,0.701236999999999,0.576
"3413","NR2E1","hurdle",0.0547116855620444,3.985901,4.654243,0.668342,0.576
"3313","NCKAP5","hurdle",0.0765283659876105,4.479958,6.061637,1.581679,0.576
"3146","MLLT4","hurdle",0.143523871386278,6.114261,6.756653,0.642392,0.576
"3117","MIR578","hurdle",0.00055961305778969,0.5178688,1.3330543,0.8151855,0.576
"2623","LOC100506746","hurdle",0.00354268123328846,1.594206,3.866302,2.272096,0.576
"2481","LMOD1","hurdle",0.00559372251122159,2.483693,3.802694,1.319001,0.576
"2064","HMGN1","hurdle",0.0451666843383008,4.713395,5.790301,1.076906,0.576
"1888","GPR173","hurdle",0.00713030070200838,0.5969886,1.5392589,0.9422703,0.576
"805","CCNL2","hurdle",0.141384780456662,5.523885,6.828638,1.304753,0.576
"742","CBFA2T2","hurdle",0.00785643788154751,4.236064,4.999418,0.763354000000001,0.576
"370","AVEN","hurdle",0.000258071870479233,-1.211436,2.965263,4.176699,0.576
"140","AHSA2","hurdle",0.0543212537123123,4.253128,4.97373,0.720602,0.576
"5571","ZNF662","hurdle",0.0849146126101173,4.465096,6.714733,2.249637,0.575
"4735","STK36","hurdle",0.0781548040710637,3.894459,4.621532,0.727073,0.575
"2903","MAPK10","hurdle",0.0980200078549809,6.952124,7.62243,0.670305999999999,0.575
"2091","HSCB","hurdle",0.00940529833026276,3.06197,4.579328,1.517358,0.575
"1797","GDPD2","hurdle",2.16467279189487e-07,-2.97817,4.536855,7.515025,0.575
"965","CNIH4","hurdle",0.0344304420735494,3.930122,5.099187,1.169065,0.575
"5405","ZFY","hurdle",0.000463870717281079,0.6556599,5.4966025,4.8409426,0.574
"5288","WBP2","hurdle",0.185384574906841,5.677149,6.221727,0.544578,0.574
"5121","TSPAN3","hurdle",0.228637848692002,7.227796,7.758675,0.530879000000001,0.574
"4883","THG1L","hurdle",0.00461595574651117,2.288286,3.690021,1.401735,0.574
"4867","TFRC","hurdle",0.104874256622906,6.598999,7.889744,1.290745,0.574
"4473","SLC39A9","hurdle",0.147429687519089,6.459968,7.219668,0.7597,0.574
"4189","RPS4Y1","hurdle",0.0137130945934429,4.872034,5.447323,0.575289,0.574
"4049","RBMS2","hurdle",0.0525587320972454,3.316938,5.472697,2.155759,0.574
"3727","PLD2","hurdle",0.00281750821055319,2.364384,5.453178,3.088794,0.574
"3653","PGGT1B","hurdle",0.0815153708394591,5.167821,6.567208,1.399387,0.574
"2765","LOC645206","hurdle",0.0147435712001922,2.544838,4.824045,2.279207,0.574
"2071","HNRNPU","hurdle",0.183833191537305,8.454356,9.158374,0.704018,0.574
"1955","H3F3A","hurdle",0.0159993863096868,-1.6249762,-0.5896239,1.0353523,0.574
"1926","GSTM3","hurdle",0.206197265094782,7.120769,7.647946,0.527177,0.574
"1762","GALC","hurdle",0.013515829965216,5.092648,6.881301,1.788653,0.574
"860","CECR1","hurdle",0.0230448328116558,3.460196,4.0489,0.588704,0.574
"736","CASP7","hurdle",0.00251028005284927,2.723936,3.94848,1.224544,0.574
"157","AKAP8L","hurdle",0.0624627060988556,3.167263,4.845247,1.677984,0.574
"5624","ZNF98","hurdle",0.000389898814537759,0.2231316,3.4191039,3.1959723,0.573
"5489","ZNF397","hurdle",0.043864393459919,4.623608,6.217669,1.594061,0.573
"5475","ZNF334","hurdle",0.0584725466637738,4.407121,6.124688,1.717567,0.573
"5447","ZNF217","hurdle",0.014601424579909,2.205146,3.785922,1.580776,0.573
"5027","TNKS2","hurdle",0.00813032843526408,6.233323,7.24658,1.013257,0.573
"5010","TMPRSS3","hurdle",1.76301056321015e-05,-2.74345,5.969205,8.712655,0.573
"4930","TMEM100","hurdle",0.0237847074220508,3.309127,4.697932,1.388805,0.573
"4880","THAP7-AS1","hurdle",0.0233381807836187,-0.2287681,1.3514095,1.5801776,0.573
"4771","SYCP2","hurdle",0.00677718048781027,4.814569,6.505799,1.69123,0.573
"4359","SHC2","hurdle",0.00669403469969399,1.733014,2.408624,0.67561,0.573
"4291","SEC14L1","hurdle",0.0956429216410849,5.984788,7.056017,1.071229,0.573
"4185","RPS16P5","hurdle",0.00684904732827368,3.207739,5.767416,2.559677,0.573
"2944","MCART6","hurdle",0.000226786078324863,1.268684,5.663363,4.394679,0.573
"2471","LIPT1","hurdle",0.0464362146099229,3.288087,4.510554,1.222467,0.573
"2311","KIAA0319L","hurdle",0.166831980068997,5.14807,5.960264,0.812194,0.573
"2296","KDM4A","hurdle",0.016069734454665,4.502396,5.028227,0.525831,0.573
"2289","KCTD21","hurdle",0.00483782305204122,2.059101,5.195678,3.136577,0.573
"2111","HSPE1","hurdle",0.268015081015196,5.238927,5.815311,0.576384,0.573
"1649","FJX1","hurdle",0.00508215934809715,0.1375035,1.3874337,1.2499302,0.573
"1129","DAAM2","hurdle",0.0460470449354178,3.318236,4.573476,1.25524,0.573
"5306","WDR55","hurdle",0.0412755692480213,3.221676,4.50544,1.283764,0.572
"5129","TTC12","hurdle",0.00350836038023924,1.124803,2.112969,0.988166,0.572
"4939","TMEM120A","hurdle",0.120063297372243,3.6976,4.734229,1.036629,0.572
"4524","SMO","hurdle",0.000756524947757711,-0.5596317,3.3060176,3.8656493,0.572
"4280","SDCCAG8","hurdle",0.000407133371795897,5.074523,6.135982,1.061459,0.572
"3370","NKAIN3","hurdle",0.001210346329957,2.965049,5.198849,2.2338,0.572
"3219","MTAP","hurdle",0.0600971486626784,4.172905,5.565047,1.392142,0.572
"2897","MAP3K3","hurdle",0.0524345500688183,3.041686,3.869489,0.827803,0.572
"2414","LDHD","hurdle",0.00139283638636052,1.238842,3.394974,2.156132,0.572
"2096","HSD17B14","hurdle",0.0130285261994966,1.806985,3.777462,1.970477,0.572
"1761","GADD45G","hurdle",0.0420201466199297,0.6139967,2.29468,1.6806833,0.572
"1608","FBXO2","hurdle",0.0589088711730287,1.906977,2.608809,0.701832,0.572
"1198","DENND1B","hurdle",0.159441917120333,5.202495,5.962131,0.759636,0.572
"4988","TMEM56-RWDD3","hurdle",4.32279927247552e-06,-2.26796,3.610334,5.878294,0.571
"4597","SNORD74","hurdle",0.000211640191563383,-0.6279724,2.1709588,2.7989312,0.571
"4395","SLC19A2","hurdle",0.122535365210981,4.890909,6.49964,1.608731,0.571
"4306","SELT","hurdle",0.0755229735171828,6.471898,7.34547,0.873571999999999,0.571
"3748","PLIN4","hurdle",9.18622564144002e-06,-1.985837,3.913391,5.899228,0.571
"3578","PCDHGA7","hurdle",0.00156945425757113,-0.3974617,4.1675962,4.5650579,0.571
"3311","NCBP1","hurdle",0.000303810377256037,5.556831,6.221727,0.664896,0.571
"2883","MAL","hurdle",0.0854418389439742,3.698099,4.40687,0.708771,0.571
"2553","LOC100233156","hurdle",0.0081622574156503,-0.8432174,0.6034588,1.4466762,0.571
"2404","LATS2","hurdle",0.0199748328150761,2.060652,4.640315,2.579663,0.571
"1956","H6PD","hurdle",0.0318004461677472,3.072006,4.03193,0.959924,0.571
"1949","GUF1","hurdle",0.156804731229844,4.978676,5.856857,0.878181,0.571
"1771","GAN","hurdle",0.0211291713780546,2.144983,4.006095,1.861112,0.571
"1713","FOS","hurdle",0.488500520812909,10.11414,10.86221,0.748069999999998,0.571
"1623","FEN1","hurdle",0.00260319647260932,4.050576,4.938498,0.887922,0.571
"1620","FDFT1","hurdle",0.147341401669394,6.900694,7.703144,0.80245,0.571
"1368","EIF2B4","hurdle",0.0093120615039482,4.381277,5.239452,0.858175,0.571
"1184","DDX31","hurdle",0.00412933925759342,2.728823,4.559729,1.830906,0.571
"819","CD59","hurdle",0.16874357233953,7.830854,8.578659,0.747805,0.571
"5163","TXN2","hurdle",0.236545934774155,5.288104,6.294087,1.005983,0.57
"4504","SLMO2","hurdle",0.0635572002269257,6.402318,7.345613,0.943295,0.57
"3610","PDE9A","hurdle",0.000600508493240954,1.023422,4.600584,3.577162,0.57
"2923","MASP1","hurdle",1.35007224733729e-05,0.9715796,4.6148998,3.6433202,0.57
"2699","LOC285847","hurdle",0.000504313289935773,-0.9145936,2.722466,3.6370596,0.57
"2516","LOC100130890","hurdle",0.0321319846979999,1.92242,3.604607,1.682187,0.57
"2170","IL17D","hurdle",0.0154957237120439,1.650929,3.591154,1.940225,0.57
"2143","IFRD1","hurdle",0.128539879011976,6.435735,7.969057,1.533322,0.57
"2062","HMGCL","hurdle",0.0394283310311668,3.723789,4.358913,0.635124,0.57
"1749","FZD7","hurdle",0.00118433778518683,0.5178688,4.2358753,3.7180065,0.57
"1641","FGGY","hurdle",0.0178138543487254,2.153733,4.339505,2.185772,0.57
"1350","EFHC2","hurdle",0.000464636393400738,1.013843,4.557754,3.543911,0.57
"338","ATG7","hurdle",0.0171736811540354,3.575931,6.073779,2.497848,0.57
"5425","ZMYND8","hurdle",0.259200804218082,6.416096,7.103491,0.687395,0.569
"5310","WDR60","hurdle",0.104006410483976,5.145513,5.81655,0.671037,0.569
"4545","SNORA27","hurdle",0.0306931387415004,3.0835,4.617746,1.534246,0.569
"4176","RPL17","hurdle",0.0511854018091368,1.729116,2.827819,1.098703,0.569
"3789","POLM","hurdle",0.0119042823040675,-0.1193101,2.0069639,2.126274,0.569
"3357","NFRKB","hurdle",0.141417848298765,4.163188,5.291475,1.128287,0.569
"2954","MDFIC","hurdle",5.0410491882254e-05,-2.398314,4.409062,6.807376,0.569
"2038","HIST1H2BC","hurdle",0.00591003350828737,1.227835,3.774064,2.546229,0.569
"2023","HIGD1A","hurdle",0.044860315561738,7.388743,8.063934,0.675191,0.569
"1977","HDAC1","hurdle",0.0311467159798055,3.154968,4.409062,1.254094,0.569
"1925","GSTM2","hurdle",0.0453563268236055,3.640125,4.412344,0.772219,0.569
"1514","FAM161A","hurdle",0.186208022467707,4.54957,5.74633,1.19676,0.569
"1402","EMP3","hurdle",7.75331575789901e-05,-0.2749876,2.7946674,3.069655,0.569
"1240","DMD","hurdle",0.188035590555788,7.28641,7.874952,0.588542,0.569
"1044","CRY2","hurdle",0.121548532688755,4.184337,5.202645,1.018308,0.569
"500","C14orf102","hurdle",0.157543160266863,3.330507,4.122886,0.792379,0.569
"83","ACTR8","hurdle",0.0332133178548104,4.154132,5.905804,1.751672,0.569
"5622","ZNF879","hurdle",0.00531707605215567,2.361869,3.87901,1.517141,0.568
"5362","ZBED6","hurdle",0.125110090992414,3.49848,5.481057,1.982577,0.568
"5280","VWA3A","hurdle",0.0024937711313925,0.9781628,4.9124644,3.9343016,0.568
"5244","USP8","hurdle",0.338560693290497,6.285593,7.04143,0.755837,0.568
"3591","PCNT","hurdle",0.249567775874103,5.854888,6.368915,0.514027,0.568
"3525","PAICS","hurdle",0.0616180793742544,5.399585,6.896225,1.49664,0.568
"3407","NPR2","hurdle",0.0405015391735205,2.744354,4.336053,1.591699,0.568
"3243","MUC20","hurdle",0.00265328472744771,4.655275,5.46955,0.814275,0.568
"2314","KIAA0494","hurdle",0.102985587949918,5.911337,7.331524,1.420187,0.568
"1803","GFRA1","hurdle",0.00494027575197064,3.019518,4.710429,1.690911,0.568
"1576","FAM82B","hurdle",0.124695992136681,5.243887,6.327212,1.083325,0.568
"1390","ELMOD3","hurdle",0.058261148979811,3.278785,3.964965,0.68618,0.568
"1369","EIF2B5","hurdle",0.0230525210347958,4.423494,5.182282,0.758788,0.568
"523","C15orf41","hurdle",0.0241622847202751,3.226522,4.432959,1.206437,0.568
"390","BAZ2A","hurdle",0.234412413805623,5.069137,5.789881,0.720744000000001,0.568
"358","ATP6V0E1","hurdle",0.117753758838704,5.729177,6.421712,0.692535,0.568
"3739","PLEKHH2","hurdle",0.097404431646592,5.255619,6.674523,1.418904,0.567
"3481","OMA1","hurdle",0.0413955426697263,4.446227,6.36525,1.919023,0.567
"3236","MTRF1L","hurdle",0.114608531310675,2.729799,4.118874,1.389075,0.567
"2977","MEP1B","hurdle",0.00663096267172919,1.81987,3.606519,1.786649,0.567
"2736","LOC440288","hurdle",0.00125324143515334,0.6921549,2.5583466,1.8661917,0.567
"1785","GBAS","hurdle",0.00708492837912893,5.527396,7.063865,1.536469,0.567
"1781","GATC","hurdle",0.142528863440494,4.46187,5.791142,1.329272,0.567
"1525","FAM181A-AS1","hurdle",0.00425120012721357,-2.064836,0.116193,2.181029,0.567
"1292","DRAM1","hurdle",0.0386722626881109,1.596347,2.97121,1.374863,0.567
"940","CLEC16A","hurdle",0.15554315249558,3.725746,4.437262,0.711516,0.567
"780","CCDC7","hurdle",0.00112481932105313,2.913603,4.790806,1.877203,0.567
"405","BCL2","hurdle",0.00670941116043668,3.15642,4.798352,1.641932,0.567
"281","ARHGEF10","hurdle",0.160587137224172,3.472488,4.246947,0.774459,0.567
"148","AK1","hurdle",0.220436687842166,4.356542,5.331899,0.975357,0.567
"4790","TADA3","hurdle",0.02867711428433,3.293376,4.434036,1.14066,0.566
"4266","SCN11A","hurdle",0.00104920437521657,-2.26796,2.98303,5.25099,0.566
"4263","SCLT1","hurdle",0.218494876902452,4.842122,5.634612,0.79249,0.566
"4148","RNF215","hurdle",0.0204112311250076,-1.1817804,0.7627946,1.944575,0.566
"3715","PLA2G12A","hurdle",0.191163190142705,3.887919,4.390322,0.502403,0.566
"3601","PDDC1","hurdle",0.164259191228071,2.985615,3.487088,0.501473,0.566
"3514","P2RY14","hurdle",0.0234585036537398,2.943345,5.60671,2.663365,0.566
"3327","NDUFB4","hurdle",0.136970917335861,6.140267,6.972507,0.832240000000001,0.566
"2313","KIAA0391","hurdle",0.0133492848761566,4.477346,6.45153,1.974184,0.566
"2155","IGF1R","hurdle",0.262384597660661,5.859352,6.773979,0.914626999999999,0.566
"1568","FAM63A","hurdle",0.0746424929702698,3.026681,4.93698,1.910299,0.566
"1406","ENDOU","hurdle",0.000187044624118331,-2.468192,1.632268,4.10046,0.566
"1365","EIF1AY","hurdle",0.0244701581840921,2.968359,4.723699,1.75534,0.566
"1357","EFTUD2","hurdle",0.0458525242173594,4.69278,5.472173,0.779393,0.566
"1220","DHX38","hurdle",0.098391473920424,3.133012,3.899425,0.766413,0.566
"1116","CYP3A43","hurdle",0.00644603993053093,-1.13841,1.59424,2.73265,0.566
"1042","CROT","hurdle",0.0417370079628286,2.285634,3.625497,1.339863,0.566
"1036","CREBL2","hurdle",0.122272836390954,5.038757,5.77466,0.735903,0.566
"902","CHKB","hurdle",0.0456958972439071,0.7548396,2.8310927,2.0762531,0.566
"696","CA12","hurdle",0.00105709228386248,1.032939,4.751609,3.71867,0.566
"160","AKR7A2","hurdle",0.0517751854011709,1.510394,3.657197,2.146803,0.566
"5333","WNT7B","hurdle",0.0288057156829596,0.3755226,2.8729876,2.497465,0.565
"5253","VANGL2","hurdle",0.0455827330066444,2.437863,4.573476,2.135613,0.565
"4850","TEP1","hurdle",0.0124371069652705,2.027713,2.898177,0.870464,0.565
"4756","SULT1C4","hurdle",0.0140404693878059,1.53516,3.485011,1.949851,0.565
"4362","SHISA4","hurdle",0.0330754134057478,1.621796,3.327038,1.705242,0.565
"4324","SESN3","hurdle",0.11358146218984,3.115203,4.310481,1.195278,0.565
"4315","SEPT10","hurdle",0.124541113517586,3.941115,4.591926,0.650811,0.565
"4039","RBM14","hurdle",0.142612660000371,3.63232,4.219731,0.587411,0.565
"3511","OTX1","hurdle",0.000119375036482116,-3.030071,1.802026,4.832097,0.565
"3406","NPNT","hurdle",0.0443686148891919,2.971662,4.176632,1.20497,0.565
"2900","MAP4K5","hurdle",0.0636760427310761,6.613541,7.393591,0.78005,0.565
"2882","MAK","hurdle",0.0686989569808804,3.837672,4.42106,0.583388,0.565
"2407","LCLAT1","hurdle",0.186830554720363,5.717544,6.650635,0.933091,0.565
"2337","KIAA1826","hurdle",0.211580467539084,4.890909,5.618125,0.727216,0.565
"2116","HTT","hurdle",0.0605447407767836,5.182503,5.774234,0.591731,0.565
"1727","FRMPD2","hurdle",7.29235117240233e-06,-2.928071,3.308368,6.236439,0.565
"1267","DNMT3A","hurdle",0.154389703713465,4.371309,5.350269,0.97896,0.565
"1146","DCAF11","hurdle",0.0783779880727531,4.004562,5.609095,1.604533,0.565
"1085","CUBN","hurdle",0.0202799186812772,2.642354,5.623799,2.981445,0.565
"708","CAD","hurdle",0.0689641810262873,2.96422,4.556766,1.592546,0.565
"62","ACOT13","hurdle",0.0421360094527079,4.597122,5.592312,0.99519,0.565
"4865","TFDP1","hurdle",0.00840241900262006,3.737435,4.550821,0.813386,0.564
"4354","SH3GLB1","hurdle",0.299366577720553,6.248974,7.190334,0.94136,0.564
"4351","SH3BGR","hurdle",0.00547067566262975,2.134707,5.20895,3.074243,0.564
"3773","PNRC1","hurdle",0.222677748653493,6.038038,6.798226,0.760187999999999,0.564
"3595","PCTP","hurdle",7.89087249734436e-05,1.482883,5.039591,3.556708,0.564
"3339","NEK9","hurdle",0.178965255126931,5.085235,6.104878,1.019643,0.564
"2941","MBTPS2","hurdle",0.193203523038151,4.706474,5.837048,1.130574,0.564
"2879","MAGI3","hurdle",0.25500236559289,5.984685,7.234114,1.249429,0.564
"2588","LOC100505676","hurdle",0.000257182492556995,-1.13841,4.672608,5.811018,0.564
"1987","HEATR8","hurdle",0.000352606246659365,-1.196532,3.117802,4.314334,0.564
"1805","GGA3","hurdle",0.0482631003585568,3.941115,5.088968,1.147853,0.564
"1495","FAM114A2","hurdle",0.14067882880268,3.42268,4.891451,1.468771,0.564
"1487","FAHD2A","hurdle",0.0462374501319229,3.222369,4.461757,1.239388,0.564
"1309","DUOX1","hurdle",0.0474678826092215,0.6308066,3.3726825,2.7418759,0.564
"1148","DCAF5","hurdle",0.0480905606322645,5.430966,6.559087,1.128121,0.564
"1047","CRYL1","hurdle",0.188247678492577,4.347354,5.862467,1.515113,0.564
"424","BICD2","hurdle",0.182747779168731,5.188193,6.006602,0.818409,0.564
"364","ATPAF1","hurdle",0.192639379680013,4.752561,5.339965,0.587404,0.564
"153","AKAP10","hurdle",0.00234833387512707,4.68425,5.21272,0.52847,0.564
"19","ABCC8","hurdle",0.178795672681657,4.610161,5.585544,0.975383,0.564
"5353","YIF1A","hurdle",0.101996270779954,2.579886,4.385876,1.80599,0.563
"4970","TMEM216","hurdle",0.0585783622948913,2.809479,4.472278,1.662799,0.563
"4072","REST","hurdle",0.143314946422164,4.527298,5.249886,0.722588,0.563
"3798","POM121C","hurdle",0.00521824187349355,2.928976,4.570541,1.641565,0.563
"3457","NUP85","hurdle",0.163542906549266,4.201317,6.258057,2.05674,0.563
"3324","NDUFA9","hurdle",0.00183423927260728,5.94365,7.191131,1.247481,0.563
"2996","MFHAS1","hurdle",0.0739338338463661,4.120309,4.802527,0.682218000000001,0.563
"2859","LTBP3","hurdle",0.0370122599840681,0.2341741,1.7614225,1.5272484,0.563
"2312","KIAA0368","hurdle",0.264211308815526,6.571237,7.362679,0.791442,0.563
"2182","ILDR2","hurdle",0.184590350011576,4.495529,5.170054,0.674525,0.563
"629","C4orf46","hurdle",0.0654905394348927,2.461547,6.25013,3.788583,0.563
"545","C17orf69","hurdle",0.0596658522084627,0.8619465,2.2366161,1.3746696,0.563
"5330","WNK3","hurdle",0.244020483175347,6.178373,6.710518,0.532145000000001,0.562
"4329","SETX","hurdle",0.202546925722988,6.758017,7.616513,0.858496000000001,0.562
"4236","SAP30","hurdle",0.130772597781699,2.085254,3.499486,1.414232,0.562
"3957","PURG","hurdle",0.0750260269164282,3.197197,3.890039,0.692842,0.562
"3792","POLR2J2","hurdle",0.00327578129186024,-2.5416274,-0.7762785,1.7653489,0.562
"3706","PITRM1","hurdle",0.0104958517437572,4.472109,5.012453,0.540344,0.562
"3603","PDE3B","hurdle",0.133686463518631,4.931967,5.829293,0.897326,0.562
"3556","PCCB","hurdle",0.152403400913372,4.267307,5.062055,0.794748,0.562
"3325","NDUFAF1","hurdle",0.130384215949167,4.81893,5.79785,0.97892,0.562
"2400","LARP7","hurdle",0.00770279524867375,4.63771,6.025658,1.387948,0.562
"1622","FEM1C","hurdle",0.225357349882255,5.534951,6.243082,0.708131,0.562
"1398","EML3","hurdle",0.012009656714092,-1.9109397,0.5724985,2.4834382,0.562
"1289","DPY19L4","hurdle",0.160376697443598,3.917333,5.827655,1.910322,0.562
"934","CLCNKB","hurdle",0.0108508422683818,-1.7283653,-0.3632351,1.3651302,0.562
"705","CACNB1","hurdle",0.180003981072613,2.747248,3.315398,0.56815,0.562
"512","C14orf37","hurdle",0.0716279217674675,4.768315,5.562587,0.794271999999999,0.562
"506","C14orf167","hurdle",0.0040848301476631,3.167263,5.312122,2.144859,0.562
"5326","WIPI1","hurdle",0.101494193319996,3.576473,4.558742,0.982269,0.561
"5301","WDR41","hurdle",0.0906243625964262,5.116528,6.206368,1.08984,0.561
"4943","TMEM135","hurdle",0.285871856799547,5.230164,6.162862,0.932697999999999,0.561
"4455","SLC35B3","hurdle",0.0976425766292676,3.892282,5.520625,1.628343,0.561
"3862","PRDX3","hurdle",0.42345676611208,7.527821,8.384345,0.856523999999999,0.561
"2368","KNDC1","hurdle",0.0474998704851264,1.284705,3.598857,2.314152,0.561
"2080","HPS4","hurdle",0.0890718835579798,4.196033,5.962504,1.766471,0.561
"1264","DNHD1","hurdle",0.0661642243879856,2.606687,4.756782,2.150095,0.561
"1173","DDR2","hurdle",0.0444546569103345,2.512323,5.179717,2.667394,0.561
"944","CLK1","hurdle",0.42460592778147,8.38309,9.324478,0.941388,0.561
"887","CGNL1","hurdle",0.0179277496996865,1.377267,4.655167,3.2779,0.561
"858","CEBPB","hurdle",0.0952045151267425,1.236098,2.09129,0.855192,0.561
"852","CDKN2C","hurdle",0.00479333751501551,1.139561,3.651654,2.512093,0.561
"76","ACSL3","hurdle",0.23407445172634,7.377037,8.350312,0.973275000000001,0.561
"5459","ZNF260","hurdle",0.100737458489299,3.683571,6.350782,2.667211,0.56
"5380","ZCCHC24","hurdle",0.0805301645260692,4.192852,5.399612,1.20676,0.56
"4874","TGM1","hurdle",0.0210044717406352,1.492112,2.84735,1.355238,0.56
"4451","SLC30A9","hurdle",0.188559491303137,7.087144,7.64353,0.556386,0.56
"3571","PCDHB5","hurdle",0.00492178382015735,0.5535699,3.1364454,2.5828755,0.56
"2934","MBD3","hurdle",0.0654310766986351,-0.6279724,1.1459404,1.7739128,0.56
"2922","MARS","hurdle",0.187986506128109,5.858572,7.328487,1.469915,0.56
"2596","LOC100505854","hurdle",0.146896663585731,2.572292,4.03193,1.459638,0.56
"2530","LOC100132352","hurdle",0.0389132829328736,2.091339,2.664923,0.573584,0.56
"2147","IFT27","hurdle",0.124562168238185,3.170859,4.352093,1.181234,0.56
"2065","HMGN2","hurdle",0.0327727390379797,5.378589,6.30325,0.924661,0.56
"1886","GPR161","hurdle",0.0386102754370645,2.790903,3.877428,1.086525,0.56
"1852","GNL3L","hurdle",0.287537731786829,5.202319,6.280681,1.078362,0.56
"1491","FAM108C1","hurdle",0.122088163540258,3.11595,4.189442,1.073492,0.56
"1119","CYP4F24P","hurdle",0.00174876197517085,0.1550406,2.3413431,2.1863025,0.56
"1068","CTDSPL","hurdle",0.0885148121296596,3.716917,4.585156,0.868239,0.56
"1010","COQ9","hurdle",0.0466246315384373,5.053443,6.304429,1.250986,0.56
"939","CLDND2","hurdle",0.0241147015904462,-0.8784642,1.3874337,2.2658979,0.56
"911","CHRNB1","hurdle",0.000321762769208437,2.290932,5.481578,3.190646,0.56
"786","CCDC84","hurdle",0.117056659405657,4.822593,6.043759,1.221166,0.56
"707","CACNG7","hurdle",0.0464890534798302,-1.3365584,-0.3934814,0.943077,0.56
"227","ANXA11","hurdle",0.0635232208629414,2.40526,4.958094,2.552834,0.56
"5574","ZNF672","hurdle",0.0181915869896384,-0.1405474,1.7406839,1.8812313,0.559
"5444","ZNF207","hurdle",0.0509143230293842,6.807199,7.902054,1.094855,0.559
"4691","SRSF5","hurdle",0.28416307962516,7.329361,7.869191,0.53983,0.559
"4228","SAFB2","hurdle",0.0136781626266479,4.083003,5.328429,1.245426,0.559
