"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.microglia","log2fold_change","Auc"
"1161","MCRS1","hurdle",0.590904413312962,4.588734,5.166414,0.57768,0.459
"610","FAM120A","hurdle",0.820486387514104,5.768814,6.652486,0.883672,0.459
"320","CD3EAP","hurdle",0.173446693468511,1.526404,2.201634,0.67523,0.459
"237","C2orf47","hurdle",0.531588240043651,3.015934,3.633722,0.617788,0.459
"1808","SMAD5","hurdle",0.258678120086293,5.752691,6.482405,0.729714,0.458
"157","BCL2L13","hurdle",0.792699174756153,4.583375,5.673486,1.090111,0.458
"2215","ZNF622","hurdle",0.670715141501483,3.56285,4.967514,1.404664,0.457
"1737","SGMS1","hurdle",0.0211228148892942,4.514416,5.904785,1.390369,0.457
"1731","SETDB1","hurdle",0.400561844718992,4.24677,4.869131,0.622361000000001,0.457
"1637","RPA3","hurdle",0.718877320541115,3.140973,4.723149,1.582176,0.457
"1117","LSG1","hurdle",0.238683802325465,5.020948,5.78725,0.766302,0.457
"438","CXADR","hurdle",0.794593135964164,8.066687,8.742857,0.676170000000001,0.457
"2090","USP14","hurdle",0.349461168486877,6.154189,6.747857,0.593668,0.456
"1675","RQCD1","hurdle",0.0483523079179581,3.580441,5.858913,2.278472,0.456
"1625","RNF167","hurdle",0.32870599217354,3.27555,4.202614,0.927064,0.456
"1176","METAP2","hurdle",0.834766298177984,6.204073,6.839676,0.635603,0.456
"918","KDM3B","hurdle",0.605040520527831,5.340433,6.163146,0.822713,0.456
"531","DUS4L","hurdle",0.118776083932515,2.491639,3.439623,0.947984,0.456
"2168","ZKSCAN1","hurdle",0.340355214771846,6.695061,7.73919,1.044129,0.455
"1470","POLG2","hurdle",0.46815960792697,3.643599,4.74685,1.103251,0.455
"558","EIF3D","hurdle",0.789534311928606,5.373281,6.321477,0.948195999999999,0.455
"366","CHST3","hurdle",0.0236200181387944,2.811104,5.546123,2.735019,0.455
"1324","NOM1","hurdle",0.0793463492041966,2.543155,3.397461,0.854306,0.454
"1135","MAK16","hurdle",0.671764037965414,5.480234,5.990955,0.510720999999999,0.454
"842","IFI44","hurdle",0.127362184750696,4.741297,6.1918,1.450503,0.454
"312","CD2AP","hurdle",0.0861721445874513,3.060973,4.025693,0.96472,0.454
"94","APTX","hurdle",0.0510946801468591,4.502871,5.565293,1.062422,0.454
"2095","USPL1","hurdle",0.0711722892813049,5.75825,7.462298,1.704048,0.453
"1487","PPP4C","hurdle",0.00485967283293002,1.19743,4.553053,3.355623,0.453
"1468","POGLUT1","hurdle",0.195443392043633,6.558458,7.318317,0.759859000000001,0.453
"1257","MTMR14","hurdle",0.0772056296234031,2.714726,4.090642,1.375916,0.453
"1183","MFSD1","hurdle",0.566980664260128,4.671668,5.604739,0.933071,0.453
"1096","LOH12CR1","hurdle",0.509230463132102,3.577749,4.172927,0.595178,0.453
"525","DPAGT1","hurdle",0.0795952041042732,4.99259,6.105385,1.112795,0.453
"117","ARSA","hurdle",0.0367651513109694,2.10209,4.411935,2.309845,0.453
"1359","OMA1","hurdle",0.161238233799044,5.052804,6.027353,0.974549,0.452
"397","COL4A3BP","hurdle",0.706315513446962,5.935907,6.799767,0.86386,0.452
"1679","RRM2B","hurdle",0.785117331234506,5.419877,6.442529,1.022652,0.451
"1471","POLR1C","hurdle",0.138251107665305,4.698974,5.363259,0.664285,0.451
"1185","MFSD6","hurdle",0.124108294807936,5.432599,5.965207,0.532608000000001,0.451
"768","HAUS1","hurdle",0.0813087349591687,3.184097,4.579693,1.395596,0.451
"493","DFNB59","hurdle",0.0286713715922857,3.334158,5.852686,2.518528,0.451
"423","CSNK2B","hurdle",0.00554104844910639,-0.165173,1.797013,1.962186,0.451
"49","AGXT2L2","hurdle",0.00653758261417556,2.159639,5.832257,3.672618,0.451
"2079","UFM1","hurdle",0.5959140894941,6.516719,7.56634,1.049621,0.45
"1917","TARS","hurdle",0.168488522335544,6.052004,7.326205,1.274201,0.45
"1790","SLC38A10","hurdle",0.0268314388327528,1.907105,4.053111,2.146006,0.45
"1525","PTP4A1","hurdle",0.216429798066386,6.794169,7.569191,0.775022,0.45
"882","IRF1","hurdle",0.087194111319006,3.748677,4.635174,0.886497,0.45
"518","DNAJC9","hurdle",0.619724331186099,4.028839,5.601028,1.572189,0.45
"2106","VCAN","hurdle",0.642710131234487,6.89048,9.141085,2.250605,0.449
"1912","SYVN1","hurdle",0.0777025852062558,2.443153,3.050937,0.607784,0.449
"1233","MOV10","hurdle",0.210307764087466,4.032121,5.995202,1.963081,0.449
"734","GOLPH3L","hurdle",0.0333507503683705,4.469126,7.211645,2.742519,0.449
"409","CREB3","hurdle",0.00776842499027665,4.538386,7.625526,3.08714,0.449
"340","CDK8","hurdle",0.201632997893488,3.824832,4.786596,0.961764000000001,0.449
"2062","TYW3","hurdle",0.0387871153104483,4.329124,5.626804,1.29768,0.448
"1937","TFRC","hurdle",0.215594371569528,6.906618,7.982851,1.076233,0.448
"1922","TBK1","hurdle",0.458521960540597,5.908758,6.885391,0.976633000000001,0.448
"1423","PHF7","hurdle",0.0242356258088397,2.179902,4.283551,2.103649,0.448
"995","LNP1","hurdle",0.0324475323921579,3.392522,6.156842,2.76432,0.448
"449","CYB5R3","hurdle",0.408271191264958,3.512514,5.397889,1.885375,0.448
"2101","UXS1","hurdle",0.247742133848656,3.95295,6.329348,2.376398,0.447
"2034","TRMT6","hurdle",0.0383333928878321,3.469586,4.815704,1.346118,0.447
"1548","RAB7A","hurdle",0.663105779214032,6.352894,7.357332,1.004438,0.447
"1005","LOC100131234","hurdle",0.114279633059206,3.091495,3.648178,0.556683,0.447
"760","GTPBP8","hurdle",0.21093949149187,3.556938,4.187847,0.630908999999999,0.447
"1976","TMEM164","hurdle",0.029291011720409,2.519031,4.537607,2.018576,0.446
"670","FLVCR1","hurdle",0.0148311777401498,5.584504,7.892011,2.307507,0.446
"590","ESCO1","hurdle",0.00607413392194921,5.838328,8.079351,2.241023,0.446
"182","BTG1","hurdle",0.624254372023557,6.155469,7.211037,1.055568,0.446
"171","BMS1","hurdle",0.0531669980370115,5.049407,6.948805,1.899398,0.446
"85","API5","hurdle",0.601049013725731,6.066881,6.738599,0.671717999999999,0.446
"2209","ZNF546","hurdle",0.104414726242313,4.129406,5.877438,1.748032,0.445
"2131","WDR70","hurdle",0.244253529534354,4.172277,5.321026,1.148749,0.445
"1963","TM9SF1","hurdle",0.511098426187938,3.257717,3.842979,0.585262,0.445
"1192","MINPP1","hurdle",0.116914934693009,3.379697,3.934281,0.554584,0.445
"683","FRMD4A","hurdle",0.0367569998942139,5.852506,6.578939,0.726433,0.445
"583","EPS8","hurdle",0.315562755118721,6.334736,7.0638,0.729063999999999,0.445
"1980","TMEM2","hurdle",0.0761156865105751,4.798498,6.179412,1.380914,0.444
"1914","TAF2","hurdle",0.616484366822187,5.392177,7.245315,1.853138,0.444
"1710","SDAD1","hurdle",0.0240311747019756,5.462828,6.658747,1.195919,0.444
"1285","NAB1","hurdle",0.225089872517449,4.870667,5.838574,0.967907,0.444
"1140","MAN1B1","hurdle",0.505424578119611,3.658965,5.035074,1.376109,0.444
"931","KIAA1468","hurdle",0.635553629173407,5.005003,5.77742,0.772417,0.444
"428","CTNNA1","hurdle",0.599071181680923,7.135167,7.810009,0.674842,0.444
"287","CC2D2B","hurdle",0.0562654468480981,2.39196,3.811214,1.419254,0.444
"136","ATXN1","hurdle",0.741284643444104,5.655171,8.242162,2.586991,0.444
"919","KDM4C","hurdle",0.601256898572244,5.47831,6.658747,1.180437,0.443
"756","GSTM4","hurdle",0.327625558538217,4.147071,5.062316,0.915245,0.443
"2069","UBE2E1","hurdle",0.141693898287839,4.198512,4.815704,0.617192,0.442
"1536","PXMP4","hurdle",0.0984525833818985,3.495971,4.116864,0.620893,0.442
"1432","PIGT","hurdle",0.395675350316205,5.409441,6.29071,0.881269,0.442
"1178","METTL23","hurdle",0.107797421193969,3.268888,4.014578,0.74569,0.442
"1900","SUN2","hurdle",0.620037939888966,1.832269,2.736064,0.903795,0.441
"1680","RRN3P1","hurdle",0.0138906696997402,2.621066,3.92837,1.307304,0.441
"1509","PSMA1","hurdle",0.314281149401246,6.855478,7.972477,1.116999,0.441
"1319","NOC2L","hurdle",0.0641333817416998,2.910747,4.162895,1.252148,0.441
"1272","MYO18A","hurdle",0.595216111804118,3.186456,3.745506,0.55905,0.441
"1101","LPIN2","hurdle",0.455679160136885,6.613171,7.439623,0.826452,0.441
"910","KCNH3","hurdle",0.039749525275465,2.575006,4.283551,1.708545,0.441
"475","DCTD","hurdle",0.0142532175975203,3.472005,6.65159,3.179585,0.441
"135","ATR","hurdle",0.0311109232322101,5.522734,7.292092,1.769358,0.441
"1942","THAP2","hurdle",0.107192480945193,3.698334,4.990388,1.292054,0.44
"1681","RRP12","hurdle",0.0917489333080853,2.762139,3.472488,0.710349,0.44
"1590","REST","hurdle",0.150700330970262,4.678596,5.258802,0.580206,0.44
"855","IKZF4","hurdle",0.026845127714905,4.149188,6.160628,2.01144,0.44
"352","CEP70","hurdle",0.238046449424102,4.826553,5.489045,0.662492,0.44
"2195","ZNF335","hurdle",0.0299681815245064,3.84997,6.097505,2.247535,0.439
"1380","P4HA1","hurdle",0.0644700853499808,5.618961,9.004326,3.385365,0.439
"262","C9orf86","hurdle",0.16263070785879,2.378615,3.029011,0.650396,0.439
"1695","SAAL1","hurdle",0.0665252169131092,3.794232,4.712871,0.918639,0.438
"1683","RTCD1","hurdle",0.0185932933870916,5.007672,5.81314,0.805467999999999,0.438
"1538","PYGM","hurdle",0.056153704316458,3.27721,4.020147,0.742937,0.438
"54","AK2","hurdle",0.618531163848595,4.148281,5.115304,0.967023,0.438
"2044","TTC32","hurdle",0.529058404195214,3.484037,4.624247,1.14021,0.437
"1151","MASTL","hurdle",0.0100914587557655,4.395353,5.715276,1.319923,0.437
"844","IFIT2","hurdle",0.214930975992874,5.523434,6.072267,0.548833,0.437
"827","HSPA14","hurdle",0.44812517530902,4.265574,4.825277,0.559703,0.437
"474","DCLRE1C","hurdle",0.0954353291464002,6.212415,8.35964,2.147225,0.437
"446","CXorf40B","hurdle",0.0155396067001074,3.177592,5.989536,2.811944,0.437
"180","BTBD9","hurdle",0.23324703773277,3.896808,4.486232,0.589424,0.437
"978","LIMK2","hurdle",0.0483351748549825,3.202858,4.16792,0.965062,0.436
"1636","RPA2","hurdle",0.0373516835029622,6.027795,7.199427,1.171632,0.435
"832","HSPD1","hurdle",0.0031290663107561,7.548926,8.367579,0.818652999999999,0.435
"555","EIF2AK3","hurdle",0.0227475743355819,4.485738,6.178167,1.692429,0.435
"160","BCS1L","hurdle",0.039272344850405,3.896808,5.503031,1.606223,0.435
"1921","TBC1D8","hurdle",0.182905645171047,3.517674,4.187847,0.670173,0.434
"1913","TAB3","hurdle",0.0095859023205811,2.148795,4.831624,2.682829,0.434
"1891","STT3B","hurdle",0.313965629267535,5.136604,7.444808,2.308204,0.434
"1434","PIGZ","hurdle",0.024373323029329,3.249846,5.408542,2.158696,0.434
"1401","PDE4B","hurdle",0.34887279901616,6.640414,7.545254,0.90484,0.434
"1254","MTHFD1L","hurdle",0.333360341947865,3.781028,5.854245,2.073217,0.434
"1081","LOC646762","hurdle",0.0626507731707426,4.694839,6.014857,1.320018,0.434
"1018","LOC100289019","hurdle",0.0303577668864634,4.371714,5.711839,1.340125,0.434
"144","BAG3","hurdle",0.0940792636662547,5.5572,8.162895,2.605695,0.434
"1627","RNF20","hurdle",0.23969139557224,5.559703,7.806791,2.247088,0.433
"1527","PTPN11","hurdle",0.382470918309887,6.074223,6.613421,0.539198,0.433
"1499","PRMT3","hurdle",0.241124011883063,4.056822,6.18933,2.132508,0.433
"1243","MRPL48","hurdle",0.260622553738224,5.21407,6.010668,0.796597999999999,0.433
"1028","LOC100506710","hurdle",0.203706779912234,5.515717,6.616181,1.100464,0.433
"873","IMP4","hurdle",0.0620544001895616,2.771595,3.456149,0.684554,0.433
"604","FAIM","hurdle",0.412754723440534,4.520971,5.877438,1.356467,0.433
"400","COL9A1","hurdle",0.0649883856111485,3.362592,3.916477,0.553885,0.433
"179","BTBD8","hurdle",0.0482746838983507,3.462305,4.541484,1.079179,0.433
"75","ANLN","hurdle",0.193982954884018,6.438492,6.943687,0.505195,0.433
"3","ABCB10","hurdle",0.0803834477605087,3.225397,3.817623,0.592226,0.433
"1977","TMEM170A","hurdle",0.0768036792891784,3.479717,4.403438,0.923721,0.432
"1593","RFWD2","hurdle",0.279803463164319,3.948094,5.919757,1.971663,0.432
"210","C16orf72","hurdle",0.291111520425963,5.869943,6.693138,0.823195,0.432
"566","ELF2","hurdle",0.0391389705090209,4.475649,5.81314,1.337491,0.431
"2143","YIPF5","hurdle",0.252773722724518,5.486946,6.005063,0.518117,0.43
"2057","TXNIP","hurdle",0.517377803413897,6.236585,6.923773,0.687188,0.43
"1971","TMEM116","hurdle",0.0456535571869052,4.261945,5.675251,1.413306,0.43
"1853","SP3","hurdle",0.252270781049016,5.196626,6.930442,1.733816,0.43
"1421","PHF15","hurdle",0.0358398784653016,2.344174,3.431289,1.087115,0.43
"1242","MRPL41","hurdle",0.384609749511675,1.642611,2.563768,0.921157,0.43
"1232","MOB3A","hurdle",0.0147165274604063,3.570093,5.780704,2.210611,0.43
"1083","LOC653653","hurdle",0.0186086161194727,1.243461,2.419539,1.176078,0.43
"483","DDX58","hurdle",0.00250235593781087,5.249888,7.11933,1.869442,0.43
"2185","ZNF23","hurdle",0.0139798230409726,5.828546,8.510418,2.681872,0.429
"1877","SSNA1","hurdle",0.179900172820006,3.366238,5.198691,1.832453,0.429
"1571","RBM22","hurdle",0.530473518879976,5.398294,6.069584,0.67129,0.429
"1479","PPIL3","hurdle",0.0183448894606113,4.537693,5.708394,1.170701,0.429
"1086","LOC727896","hurdle",0.0278766879130504,3.55557,4.525912,0.970342,0.429
"920","KDM5D","hurdle",0.186511089372898,5.191352,5.817943,0.626590999999999,0.429
"520","DNMT3A","hurdle",0.108089303052034,4.547818,5.735725,1.187907,0.429
"514","DNAJC10","hurdle",0.00186023057669458,6.179051,8.508686,2.329635,0.429
"392","CNOT10","hurdle",0.201537295405922,4.865525,6.583647,1.718122,0.429
"190","C10orf46","hurdle",0.079229311366342,8.358123,9.11384,0.755716999999999,0.429
"2186","ZNF254","hurdle",0.24473722186378,5.90554,7.336841,1.431301,0.428
"1516","PSMG2","hurdle",0.0256872708029412,5.563224,6.850656,1.287432,0.428
"1513","PSMD10","hurdle",0.449086129966724,6.223438,7.45255,1.229112,0.428
"1249","MSMO1","hurdle",0.505744200144054,7.869422,8.885811,1.016389,0.428
"1124","LYAR","hurdle",0.0506633238899135,2.421292,3.072535,0.651243,0.428
"176","BRPF3","hurdle",0.0870853272417453,3.38843,4.080018,0.691588,0.428
"15","ACOT2","hurdle",0.0272441705828812,2.535775,3.922436,1.386661,0.428
"837","ICT1","hurdle",0.0176677683685672,3.220802,5.130828,1.910026,0.427
"830","HSPB1","hurdle",0.177741315724861,2.705711,3.66249,0.956779,0.427
"816","HOMER1","hurdle",0.0373582210610605,5.210453,6.676486,1.466033,0.427
"623","FAM53C","hurdle",0.0996265622777476,4.897186,5.891176,0.99399,0.427
"45","AGK","hurdle",0.324083069802489,6.054024,6.911092,0.857068,0.427
"2196","ZNF337","hurdle",0.165669196610095,5.552979,6.135196,0.582217,0.426
"2132","WHSC2","hurdle",0.0198214076861186,2.011884,3.44791,1.436026,0.426
"2091","USP15","hurdle",0.495426774278807,6.726447,7.72477,0.998323,0.426
"2084","UNC119","hurdle",0.0557256589018766,3.535359,4.036723,0.501364,0.426
"1854","SPCS3","hurdle",0.262000920247426,5.525764,6.961884,1.43612,0.426
"1612","RN45S","hurdle",0.944251589276076,6.227667,7.240553,1.012886,0.426
"286","CBWD2","hurdle",0.443431642517789,3.318653,3.849249,0.530596,0.426
"76","ANP32B","hurdle",0.0925615732720366,3.307862,5.048759,1.740897,0.426
"912","KCNJ16","hurdle",0.0333465710825689,4.170193,5.835419,1.665226,0.425
"609","FAM118A","hurdle",0.0290847264803792,3.685886,5.07307,1.387184,0.425
"598","EXOSC2","hurdle",0.249028298199536,4.251564,6.115824,1.86426,0.425
"500","DHX32","hurdle",0.0329955845383753,4.287711,5.749199,1.461488,0.425
"482","DDX46","hurdle",0.0239627070454225,5.848788,6.751209,0.902421,0.425
"2129","WDR43","hurdle",0.00146721283737274,5.713162,6.969099,1.255937,0.424
"1894","STX3","hurdle",0.167374717719026,5.284701,6.69488,1.410179,0.424
"1334","NSMCE2","hurdle",0.278762658357335,4.092785,4.944273,0.851488,0.424
"729","GNL3L","hurdle",0.285862902466531,5.434957,6.444601,1.009644,0.424
"712","GIT2","hurdle",0.484627836535143,5.014823,5.666402,0.651579,0.424
"2159","ZFAND2A","hurdle",0.271430369102327,5.293343,7.054333,1.76099,0.423
"2093","USP42","hurdle",0.0176936288636275,4.533531,5.256445,0.722914,0.423
"1848","SOX4","hurdle",0.0884869425854908,7.269427,8.435045,1.165618,0.423
"1535","PXDN","hurdle",0.0132635522915039,3.576401,6.041112,2.464711,0.423
"1325","NOMO2","hurdle",0.00260467345744911,0.072686,1.446256,1.37357,0.423
"536","DYRK2","hurdle",0.0485114278413584,5.14875,5.895727,0.746977,0.423
"363","CHRAC1","hurdle",0.154291976130482,3.337876,4.93251,1.594634,0.423
"621","FAM216A","hurdle",0.317160137345988,4.789605,5.563387,0.773782,0.422
"557","EIF3A","hurdle",0.129617391625066,6.932622,7.63054,0.697918,0.422
"541","ECT2L","hurdle",0.231956866884084,3.613242,5.173927,1.560685,0.422
"2156","ZDHHC4","hurdle",0.0629707450368491,3.648311,4.381975,0.733664,0.421
"1385","PACSIN2","hurdle",0.0055089594184387,2.947364,5.146187,2.198823,0.421
"1188","MGC21881","hurdle",0.00161518968872324,1.296826,3.855491,2.558665,0.421
"501","DHX40","hurdle",0.16589516558194,4.780657,5.542258,0.761601000000001,0.42
"413","CRTC2","hurdle",0.0148011845162874,2.182267,3.725196,1.542929,0.42
"63","ALG9","hurdle",0.0306869268286334,5.176895,6.745338,1.568443,0.42
"951","KTN1","hurdle",0.379075952499568,7.348297,7.882108,0.533811,0.419
"915","KCNMB4","hurdle",0.0755553301399508,5.7987,6.52415,0.725449999999999,0.419
"911","KCNH8","hurdle",0.0668947571593656,4.704333,6.019035,1.314702,0.419
"813","HNRNPA3","hurdle",0.0959566799639723,6.692989,7.20921,0.516221,0.419
"777","HDAC4","hurdle",0.0242184160867121,2.669077,3.50462,0.835543,0.419
"527","DPY19L1","hurdle",0.344043530131152,4.508537,5.289097,0.78056,0.419
"84","APEH","hurdle",0.0419323408314418,4.919687,5.548051,0.628364,0.419
"2082","UGGT1","hurdle",0.492053278814216,5.213492,5.79214,0.578648,0.418
"384","CLTA","hurdle",0.473634590955175,4.842904,6.096188,1.253284,0.418
"225","C1orf27","hurdle",0.158435127873539,6.357742,7.285171,0.927429,0.418
"2142","YIPF3","hurdle",0.412982927891246,5.664612,6.59768,0.933068,0.417
"1303","NF2","hurdle",0.00373168887792503,5.148598,6.44667,1.298072,0.417
"1253","MTFMT","hurdle",0.395595316950069,2.902163,3.488644,0.586481,0.417
"177","BSDC1","hurdle",0.104507054161952,5.646846,6.210184,0.563338,0.417
"2","AAMP","hurdle",0.194596709894685,4.622221,5.128252,0.506031,0.417
"2228","ZNF805","hurdle",0.00743565833574344,4.700006,6.410027,1.710021,0.416
"1792","SLC39A10","hurdle",0.382506480430879,7.517162,8.702952,1.18579,0.416
"1429","PIGM","hurdle",0.00510490276905371,3.374535,6.012066,2.637531,0.416
"1428","PIGK","hurdle",0.147722418969194,5.921644,6.526108,0.604464,0.416
"1323","NOL11","hurdle",0.294542847068627,4.698355,6.421644,1.723289,0.416
"1165","MECP2","hurdle",0.128089189014626,4.981259,5.60659,0.625331,0.416
"751","GSS","hurdle",0.0175402907649352,4.856297,6.353808,1.497511,0.416
"732","GOLGA5","hurdle",0.010851313108062,4.205505,5.993788,1.788283,0.416
"511","DNAH1","hurdle",0.00340946662020133,3.319728,6.506407,3.186679,0.416
"2237","ZNFX1","hurdle",0.0280450810572512,5.58618,7.148858,1.562678,0.415
"1477","PPARA","hurdle",0.0156468243512611,4.179103,4.75689,0.577787000000001,0.415
"1909","SYNJ1","hurdle",0.031074977072445,6.784472,7.402266,0.617794,0.414
"1730","SESN1","hurdle",0.0908359423108101,5.742609,6.348286,0.605677,0.414
"1520","PTCHD1","hurdle",0.0360297194755509,5.426377,6.376777,0.9504,0.414
"890","ITGAV","hurdle",0.52437081597145,6.672841,7.387263,0.714422,0.414
"2222","ZNF7","hurdle",0.112313132561039,4.77342,6.092229,1.318809,0.413
"1839","SNRNP25","hurdle",0.024353497199774,3.84139,4.869131,1.027741,0.413
"496","DHCR7","hurdle",0.24182676089581,4.520037,5.553821,1.033784,0.413
"245","C4orf33","hurdle",0.0283226056176182,4.276962,5.316508,1.039546,0.413
"1873","SRSF4","hurdle",0.0631842222329858,5.186942,6.128768,0.941826,0.412
"1934","TEX264","hurdle",0.0265055000145278,3.791911,4.506208,0.714297,0.411
"1920","TBC1D20","hurdle",0.278164238516298,4.835409,5.576673,0.741264,0.411
"1787","SLC35D1","hurdle",0.0483677092420094,3.343698,4.008989,0.665291,0.411
"936","KIF22","hurdle",0.307853996788497,4.344781,5.203593,0.858811999999999,0.411
"1575","RBM4B","hurdle",0.00994826006391021,5.153881,5.65392,0.500039,0.41
"1491","PRCC","hurdle",0.0524135087136293,3.576401,4.386294,0.809893,0.41
"815","HNRNPL","hurdle",0.202045596838074,3.745881,4.449561,0.70368,0.41
"436","CWC22","hurdle",0.00603478029304335,6.201306,7.970322,1.769016,0.41
"2177","ZNF160","hurdle",0.11647061658078,3.651302,7.282857,3.631555,0.409
"1282","NAA15","hurdle",0.0243617173309023,7.213683,7.894666,0.680983,0.409
"778","HEATR5A","hurdle",0.44327484861368,5.893321,7.499647,1.606326,0.409
"174","BOLA3-AS1","hurdle",0.0258027884012664,4.504526,5.423326,0.9188,0.409
"2138","XRN2","hurdle",0.0805812376391908,6.046741,6.725877,0.679136,0.408
"2036","TRPC4AP","hurdle",0.0122337348396316,4.285237,5.996615,1.711378,0.408
"1806","SMAD2","hurdle",0.404153130180185,6.974421,8.810491,1.83607,0.408
"1762","SIKE1","hurdle",0.00168307416397028,6.094536,8.749786,2.65525,0.407
"1723","SEPT10","hurdle",0.0242958712882649,4.063894,4.719731,0.655837,0.407
"1284","NAA50","hurdle",0.32281177848097,5.830526,6.535859,0.705333,0.407
"2180","ZNF207","hurdle",0.0114385100752159,7.06023,7.93059,0.87036,0.406
"1813","SMPD4","hurdle",0.0237594622487113,3.784535,4.678072,0.893537,0.406
"1562","RASGEF1A","hurdle",0.0151488031307113,4.206958,5.78725,1.580292,0.406
"629","FAM91A1","hurdle",0.0065644771386784,4.705567,6.190565,1.484998,0.406
"403","COX10","hurdle",0.00930921315405756,3.667854,4.649615,0.981761,0.406
"360","CHD7","hurdle",0.387088163257976,6.327809,7.006046,0.678237,0.406
"137","ATXN3","hurdle",0.335304738244979,4.579118,5.833839,1.254721,0.406
"1510","PSMA2","hurdle",0.0492131557645145,6.403505,7.043437,0.639932,0.404
"162","BHLHE40","hurdle",0.18887105418955,5.361197,6.13904,0.777843,0.404
"1965","TMED10","hurdle",0.231600111016049,6.819225,7.360628,0.541403,0.403
"1804","SLK","hurdle",0.169278811437774,5.793004,7.172177,1.379173,0.403
"1673","RPS6KB1","hurdle",0.274147599952312,5.733364,6.267489,0.534125,0.403
"826","HSDL2","hurdle",0.122557908038161,5.889978,6.432124,0.542146,0.403
"218","C19orf43","hurdle",0.145211329120245,2.682506,3.300124,0.617618,0.403
"1606","RIC8B","hurdle",0.0192278205359751,3.81076,4.360189,0.549429,0.402
"603","FAHD1","hurdle",0.0139582916295216,3.705341,4.564531,0.859189999999999,0.402
"216","C18orf8","hurdle",0.0172165296541809,4.957808,6.247453,1.289645,0.402
"153","BCAT2","hurdle",0.00985456002864113,3.616744,4.465974,0.84923,0.402
"1924","TCEA1","hurdle",0.0349148987177152,4.84253,5.760886,0.918356,0.401
"1112","LRRC37A4","hurdle",0.000708637720466294,3.102777,5.215776,2.112999,0.401
"198","C14orf118","hurdle",0.281560922978222,4.986851,5.847997,0.861146000000001,0.401
"62","ALG8","hurdle",0.0144454126320623,5.26056,6.700093,1.439533,0.401
"53","AIP","hurdle",0.00817977259744295,4.061005,5.732337,1.671332,0.401
"807","HM13","hurdle",0.0063098827267708,3.745081,4.333603,0.588522,0.4
"1414","PEX11B","hurdle",0.134056614943161,5.37082,5.913787,0.542967,0.399
"2169","ZMAT1","hurdle",0.161980489286775,6.540652,7.651769,1.111117,0.398
"1351","ODF2","hurdle",0.0140204805050762,4.308701,5.0268,0.718099,0.398
"765","HADH","hurdle",0.179329811987726,4.902576,5.706669,0.804093,0.398
"357","CHCHD3","hurdle",0.000802236469205191,4.642762,7.077216,2.434454,0.398
"2099","UTP23","hurdle",0.0417550898631062,4.540692,5.33226,0.791568,0.397
"1618","RNF103","hurdle",0.00623708748933047,5.008672,8.111005,3.102333,0.397
"1006","LOC100131564","hurdle",0.0330154313851719,6.213065,7.320575,1.10751,0.397
"752","GSTK1","hurdle",0.00927930299311554,4.587619,5.528649,0.94103,0.397
"588","ERO1LB","hurdle",0.0771649351843657,5.902764,7.439623,1.536859,0.397
"1944","THUMPD1","hurdle",0.00826659004234914,7.982758,9.71956,1.736802,0.396
"1486","PPP3R1","hurdle",0.0576428219419607,3.764154,4.315602,0.551448,0.396
"1472","POLR2B","hurdle",0.0405337302166515,6.884455,7.681941,0.797486,0.395
"517","DNAJC24","hurdle",0.0324680686528441,3.97699,4.799605,0.822615,0.395
"2201","ZNF365","hurdle",0.0132534224800866,5.001826,6.626257,1.624431,0.394
"1883","STAT1","hurdle",0.0128784156722551,6.181417,7.757223,1.575806,0.394
"1871","SRP54","hurdle",0.301070438133289,6.220277,8.386832,2.166555,0.394
"1504","PRRC1","hurdle",0.0102238403942082,4.532604,5.757557,1.224953,0.394
"1236","MPHOSPH6","hurdle",0.00286780503247197,4.494806,5.501041,1.006235,0.394
"586","ERGIC2","hurdle",0.0180101154219632,6.363094,7.350718,0.987623999999999,0.394
"2206","ZNF490","hurdle",0.000495859797251021,4.430101,7.248283,2.818182,0.393
"1805","SLMO2","hurdle",0.255634858752708,6.569794,7.728176,1.158382,0.393
"1554","RANBP3","hurdle",0.00257175944383004,1.804901,3.072535,1.267634,0.393
"1333","NSMAF","hurdle",0.00200874114284025,5.839171,6.391888,0.552716999999999,0.393
"2061","TYW1","hurdle",0.0125660945891318,4.739692,5.680535,0.940843,0.392
"1775","SLC25A25","hurdle",0.000359291031411313,2.260462,5.110092,2.84963,0.392
"2184","ZNF226","hurdle",0.0168305474715322,5.187531,5.723832,0.536301,0.391
"1092","LOC729176","hurdle",0.00330046613009521,2.192863,3.456149,1.263286,0.391
"785","HINT3","hurdle",0.160096815296647,5.544615,6.047942,0.503327,0.391
"682","FRG1","hurdle",0.0286103836839602,4.062932,5.040564,0.977632,0.391
"17","ACOX1","hurdle",0.0560932194394675,5.765367,7.011647,1.24628,0.391
"410","CREBZF","hurdle",0.00106415087529562,5.896655,7.307542,1.410887,0.39
"925","KIAA0494","hurdle",0.266412783030017,6.324065,6.85767,0.533605,0.389
"2165","ZFR2","hurdle",0.00314807831677457,2.48015,3.867896,1.387746,0.388
"1674","RPS6KL1","hurdle",0.0047332522178711,2.822522,4.111657,1.289135,0.388
"1381","P4HB","hurdle",0.0197357334118311,4.442734,5.249351,0.806617,0.388
"199","C14orf119","hurdle",0.0143723075750534,4.795025,5.530601,0.735576,0.388
