"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.neurons","log2fold_change","Auc"
"3678","LEPREL1","hurdle",6.46517237809752e-06,2.073954,3.173713,1.099759,0.598
"3497","KIAA0753","hurdle",0.000408021202799118,3.261081,4.034751,0.77367,0.598
"3380","KARS","hurdle",0.00768512725931211,5.256138,5.878362,0.622224,0.598
"3315","IQSEC2","hurdle",2.32585905241309e-05,-0.4415097,2.4566256,2.8981353,0.598
"3086","HMBOX1","hurdle",0.00617866881085587,4.928401,5.90966,0.981259,0.598
"3023","HECA","hurdle",0.00301699913407206,5.329962,5.962185,0.632223,0.598
"2753","GLOD4","hurdle",0.0055356323100864,5.327398,6.057037,0.729639000000001,0.598
"2585","FOPNL","hurdle",0.00215437146019309,4.578076,5.655068,1.076992,0.598
"2467","FBXW4","hurdle",0.000281287516902158,3.853711,5.129629,1.275918,0.598
"2271","FAM113A","hurdle",0.000452232577504815,2.093841,3.534628,1.440787,0.598
"1909","DLL3","hurdle",5.19556337176951e-07,-0.9925249,2.1908199,3.1833448,0.598
"1182","CBX7","hurdle",0.00129321782064703,2.75336,3.320937,0.567577,0.598
"1159","CARS","hurdle",0.00429291996698307,4.199494,4.926253,0.726759,0.598
"1122","CALML4","hurdle",0.00135190668992758,2.937051,3.533677,0.596626,0.598
"961","C2orf63","hurdle",0.0036998745736995,4.458324,5.36508,0.906756,0.598
"862","C18orf25","hurdle",0.000968962775346617,4.324455,5.619444,1.294989,0.598
"846","C17orf58","hurdle",0.000260344147388065,3.821604,4.392894,0.57129,0.598
"550","ATP7B","hurdle",4.34739844123933e-05,1.181949,3.547872,2.365923,0.598
"7891","UNC13B","hurdle",0.000456196203837146,4.058744,5.529082,1.470338,0.597
"7856","UBE3C","hurdle",0.00483839210932244,4.92038,5.590024,0.669644,0.597
"7493","TMEM158","hurdle",2.1433637735032e-07,-2.08092,0.7019638,2.7828838,0.597
"7293","TAOK2","hurdle",0.00076259398978517,-0.5470555,1.5705742,2.1176297,0.597
"7196","STX6","hurdle",0.00323890933164821,3.753777,4.475907,0.72213,0.597
"7119","SST","hurdle",2.62242495175204e-05,2.772681,5.943517,3.170836,0.597
"7051","SPDYA","hurdle",0.00534306110756288,2.81988,3.680049,0.860169,0.597
"6785","SLC9A2","hurdle",5.58783512595584e-08,-0.08290308,4.21574972,4.2986528,0.597
"5443","PCDHAC2","hurdle",2.26304258629898e-07,-0.4162871,4.0062501,4.4225372,0.597
"4919","NAGPA","hurdle",4.27962571069667e-07,-0.4415097,2.4765499,2.9180596,0.597
"4911","NAAA","hurdle",4.04277809576906e-05,2.049269,3.442412,1.393143,0.597
"4828","MTO1","hurdle",0.00122406139360555,4.238231,5.122376,0.884145,0.597
"4714","MMS19","hurdle",0.00543594905973022,4.917903,5.525022,0.607119,0.597
"4692","MLL2","hurdle",0.00739012923872828,3.079062,3.747199,0.668137,0.597
"4415","MARCH9","hurdle",4.86030075668889e-07,1.858369,2.409728,0.551359,0.597
"4241","LRIG2","hurdle",0.00137275546797805,3.679681,4.206235,0.526554,0.597
"3591","KLHL8","hurdle",0.000673422288081281,3.941082,4.889942,0.948859999999999,0.597
"3130","HRK","hurdle",5.14685793920342e-07,-0.9557194,1.621571,2.5772904,0.597
"2913","GRK4","hurdle",0.000648254799161135,2.542821,3.467518,0.924697,0.597
"2761","GLRX5","hurdle",0.000139374352467098,0.4013893,3.1979182,2.7965289,0.597
"2261","FAM104A","hurdle",0.00210568813602745,4.479896,5.09718,0.617284,0.597
"2104","EIF2B4","hurdle",0.00216515064193886,4.230766,4.967316,0.73655,0.597
"1630","CPSF4","hurdle",0.000279435829890674,2.692346,4.346551,1.654205,0.597
"1604","COX20","hurdle",0.00163223337487442,0.1959202,1.2662429,1.0703227,0.597
"791","C14orf169","hurdle",0.000190701593402617,2.379592,3.444436,1.064844,0.597
"373","ARAP3","hurdle",2.3183897643547e-07,-2.003752,1.18623,3.189982,0.597
"132","ADAT2","hurdle",0.000292687508201006,3.218439,4.199657,0.981218,0.597
"8409","ZNF789","hurdle",0.000184083292429659,3.650884,4.919719,1.268835,0.596
"8336","ZNF566","hurdle",0.00218087333432388,4.507753,5.560225,1.052472,0.596
"7839","UBE2D2","hurdle",0.00725373334417638,4.173252,4.99969,0.826438,0.596
"7706","TRIT1","hurdle",0.000917674356711426,4.078286,4.917169,0.838883,0.596
"6911","SNORD114-26","hurdle",4.43997924076146e-06,0.8385982,2.4117988,1.5732006,0.596
"6752","SLC47A1","hurdle",7.86893486615166e-06,2.199596,4.29811,2.098514,0.596
"6021","QARS","hurdle",0.00379660147740391,5.130193,5.849812,0.719619,0.596
"5738","POLE4","hurdle",0.000192820339588937,1.140056,2.52901,1.388954,0.596
"5688","PLEKHM2","hurdle",0.000182398535915797,1.617079,2.901889,1.28481,0.596
"5428","PCDH18","hurdle",4.30565425248048e-06,2.109122,4.456977,2.347855,0.596
"4962","NDNL2","hurdle",0.0001729836901495,1.428094,2.434386,1.006292,0.596
"4429","MB21D2","hurdle",1.7326544829707e-05,3.015607,4.162626,1.147019,0.596
"4368","MAN2B2","hurdle",0.000545359685625294,2.679242,3.415829,0.736587,0.596
"4125","LOC441242","hurdle",1.59867399261482e-05,0.06771023,0.72879291,0.66108268,0.596
"3454","KCTD1","hurdle",0.000615750713412059,2.909885,3.536528,0.626643,0.596
"3354","JAG2","hurdle",2.47313416215626e-06,-2.248865,1.346389,3.595254,0.596
"2188","ERAL1","hurdle",0.00179354279521834,4.83006,5.704479,0.874419000000001,0.596
"2003","DSCAML1","hurdle",0.000484505727357124,1.548276,2.344004,0.795728,0.596
"1866","DGKQ","hurdle",2.13867172916906e-05,-0.5334322,2.6602382,3.1936704,0.596
"1811","DDB1","hurdle",0.00529314982974869,5.105915,5.712902,0.606986999999999,0.596
"1598","CORT","hurdle",1.69008827606672e-08,-2.657977,2.299956,4.957933,0.596
"1549","COASY","hurdle",0.000569738615192062,3.037451,3.746378,0.708927,0.596
"1308","CDC42BPB","hurdle",0.0100195120351722,3.80226,4.539325,0.737065,0.596
"1006","C5orf41","hurdle",0.0132383108118517,5.999912,6.50599,0.506078,0.596
"8271","ZNF326","hurdle",0.018432624419499,5.042803,5.769517,0.726713999999999,0.595
"8190","ZFP30","hurdle",0.000198416707347883,4.656318,5.65747,1.001152,0.595
"8107","YAE1D1","hurdle",0.00173026717589097,3.876852,4.760221,0.883369,0.595
"7572","TMEM91","hurdle",4.75612710006407e-06,0.8799094,2.6356392,1.7557298,0.595
"7476","TMEM120B","hurdle",0.000266027158913153,1.522421,3.108812,1.586391,0.595
"7267","SYT5","hurdle",6.17746360388442e-07,-2.8472476,-0.5082938,2.3389538,0.595
"6974","SNORD87","hurdle",5.14056801810035e-06,0.2441754,1.1420018,0.8978264,0.595
"6328","RPP14","hurdle",0.00939247771358081,4.02519,4.950675,0.925485,0.595
"6248","RNF123","hurdle",0.000908259665361731,3.30155,4.14717,0.84562,0.595
"6237","RNASEH2B","hurdle",0.00079979120260399,2.60111,3.660151,1.059041,0.595
"6135","RBM24","hurdle",2.07835756888657e-05,2.961311,4.042123,1.080812,0.595
"6089","RANBP3","hurdle",0.00208685492022475,1.410581,2.344004,0.933423,0.595
"5809","PPP1R1A","hurdle",2.09344243146935e-10,-3.321928,2.308874,5.630802,0.595
"5593","PIGC","hurdle",0.000319178184946173,3.863398,5.303669,1.440271,0.595
"5111","NOV","hurdle",2.05652676092123e-06,0.7797918,4.7042891,3.9244973,0.595
"4729","MOSPD1","hurdle",2.43453597967639e-06,1.198372,5.015098,3.816726,0.595
"4529","MGST2","hurdle",0.000439563847928745,3.13452,3.889979,0.755459,0.595
"4448","MCM6","hurdle",9.57563728509385e-05,2.65862,3.900341,1.241721,0.595
"3656","LASP1","hurdle",0.00113823490039479,3.00631,3.982062,0.975752,0.595
"3640","LAGE3","hurdle",0.000785392880339339,1.22266,2.525189,1.302529,0.595
"3455","KCTD10","hurdle",0.000487065495256522,2.245756,3.726548,1.480792,0.595
"3035","HGFAC","hurdle",2.09344243146938e-10,-3.321928,1.533012,4.85494,0.595
"1990","DPY19L2P4","hurdle",4.97130571574554e-07,-2.003752,3.381368,5.38512,0.595
"1725","CYB5R4","hurdle",0.00115783415997103,4.061552,4.793959,0.732407,0.595
"313","ANKRD52","hurdle",0.000895439122085707,2.515229,3.956752,1.441523,0.595
"146","ADIPOR1","hurdle",0.015514746320291,5.075121,5.696644,0.621523,0.595
"8355","ZNF622","hurdle",0.000346336689696228,3.000468,4.223434,1.222966,0.594
"7630","TOPBP1","hurdle",0.0029493206739571,4.354533,5.206205,0.851672,0.594
"7528","TMEM222","hurdle",0.00219747188239837,3.713639,4.654434,0.940795,0.594
"6787","SLC9A5","hurdle",2.42970408165563e-06,-0.1645483,2.8974621,3.0620104,0.594
"6601","SH3RF3","hurdle",1.00206873439925e-05,-0.1963972,3.1177204,3.3141176,0.594
"6416","RXRG","hurdle",8.58282625648789e-05,1.623174,3.868274,2.2451,0.594
"6186","RFX5","hurdle",0.00158590656071762,3.560874,4.613631,1.052757,0.594
"6131","RBM10","hurdle",0.00522047897535858,3.608502,4.740582,1.13208,0.594
"6130","RBL1","hurdle",0.00023266743536818,3.542499,4.403341,0.860842,0.594
"6055","RAB40C","hurdle",0.000130041451406138,-0.03412578,2.45059426,2.48472004,0.594
"5974","PTP4A3","hurdle",3.06890561736358e-07,-2.294094,2.075363,4.369457,0.594
"5745","POLR2H","hurdle",0.0026612523991258,3.858239,4.862569,1.00433,0.594
"4380","MAP1S","hurdle",0.000122892062950393,0.3360979,2.6844248,2.3483269,0.594
"4200","LOC729178","hurdle",2.1559839960042e-05,3.328844,4.424009,1.095165,0.594
"3883","LOC100505761","hurdle",1.27329239813758e-06,-1.011286,2.867595,3.878881,0.594
"3472","KDM4A","hurdle",0.0033798268446698,4.249603,4.984812,0.735209,0.594
"3371","JPX","hurdle",0.00862284016341753,3.370201,4.656182,1.285981,0.594
"3104","HNRNPAB","hurdle",0.00614894784908849,3.015607,3.933155,0.917548,0.594
"2932","GSR","hurdle",0.00190183275018983,3.586835,4.120826,0.533991,0.594
"2437","FBXL13","hurdle",0.000234896795347642,3.131316,4.851549,1.720233,0.594
"2350","FAM21B","hurdle",7.22299284488848e-06,-1.213675,1.903509,3.117184,0.594
"2291","FAM13A-AS1","hurdle",0.00105740186739144,4.263815,4.79078,0.526965,0.594
"2151","ENOX1","hurdle",0.00449276818449812,3.483418,4.162626,0.679208,0.594
"1940","DNAJC15","hurdle",0.00238144995999679,4.194898,5.1891,0.994202,0.594
"1830","DDX56","hurdle",0.0019591125574357,3.80226,5.123324,1.321064,0.594
"697","BRF2","hurdle",1.28214996866318e-06,-1.069078,3.189493,4.258571,0.594
"398","ARHGAP39","hurdle",3.69860550651069e-07,-2.294094,2.647991,4.942085,0.594
"297","ANKRD29","hurdle",0.00101013710517119,4.010733,5.048427,1.037694,0.594
"8407","ZNF785","hurdle",4.63130036326601e-05,0.3871333,1.7117471,1.3246138,0.593
"8032","WDR37","hurdle",0.00528655177374317,4.143347,5.261801,1.118454,0.593
"7872","UBXN6","hurdle",0.000550630744648441,0.7688374,2.5441946,1.7753572,0.593
"7459","TM7SF2","hurdle",0.00267838840194748,3.340914,3.99938,0.658466,0.593
"7407","THOC3","hurdle",4.65999494002875e-05,0.8799094,1.9326498,1.0527404,0.593
"7002","SNX16","hurdle",0.000304841925069172,1.816427,3.948929,2.132502,0.593
"6749","SLC45A1","hurdle",1.61675435183342e-06,-0.7685357,3.5029214,4.2714571,0.593
"6591","SH2D5","hurdle",2.10598492023284e-08,-3.231163,2.50399,5.735153,0.593
"6278","RNGTT","hurdle",0.00651246242281744,4.933622,5.536694,0.603072,0.593
"6210","RHOT2","hurdle",0.00317258503220572,1.538635,2.619601,1.080966,0.593
"5669","PLCH1","hurdle",8.27876630968991e-05,2.480399,5.904337,3.423938,0.593
"5358","PACRG","hurdle",0.000624229307299399,1.914117,3.661022,1.746905,0.593
"4948","NCKIPSD","hurdle",0.000585646274776195,1.965395,3.528915,1.56352,0.593
"3643","LAMB3","hurdle",1.88095288134535e-08,-3.231163,3.132866,6.364029,0.593
"2884","GRB14","hurdle",1.63962001822511e-05,2.742202,4.681724,1.939522,0.593
"2719","GFPT2","hurdle",0.000564705660258576,3.095596,5.141222,2.045626,0.593
"2661","GALE","hurdle",4.66569984542739e-05,1.824384,2.830918,1.006534,0.593
"2362","FAM45B","hurdle",0.000480833199277765,3.562461,4.102991,0.54053,0.593
"2116","EIF5A2","hurdle",0.0018549503008126,4.62894,5.768103,1.139163,0.593
"2089","EGFL6","hurdle",8.69411948966109e-08,-2.78136,3.510672,6.292032,0.593
"1652","CRLS1","hurdle",0.00215341653260235,3.017922,4.16815,1.150228,0.593
"866","C19orf10","hurdle",0.00315695725301186,2.966114,3.557258,0.591144,0.593
"676","BMPER","hurdle",5.57343654347942e-05,1.327165,3.98832,2.661155,0.593
"239","ALKBH4","hurdle",6.73933731862397e-05,0.4084648,2.5777863,2.1693215,0.593
"8165","ZCCHC4","hurdle",0.000557535450692768,3.166173,3.836248,0.670075,0.592
"8018","WASH3P","hurdle",2.20251983240129e-05,-0.3792613,0.2154533,0.5947146,0.592
"7371","TDRD3","hurdle",0.00260909012659239,4.507342,5.565118,1.057776,0.592
"7121","SSTR2","hurdle",3.26462485268523e-05,1.916601,3.600571,1.68397,0.592
"7103","SRRD","hurdle",3.28302717812983e-05,3.467415,4.151514,0.684099,0.592
"6958","SNORD47","hurdle",0.00157337402115476,1.614021,2.448578,0.834557,0.592
"6411","RUVBL1","hurdle",3.41336401796679e-05,2.687991,4.182777,1.494786,0.592
"6245","RNF112","hurdle",0.00133571948029017,3.236443,3.783641,0.547198,0.592
"5400","PARP11","hurdle",0.000373246506066566,3.064578,4.592331,1.527753,0.592
"4499","METTL17","hurdle",0.00641355216315662,5.016996,6.094265,1.077269,0.592
"4403","MAPK3","hurdle",0.00374367658534357,2.664542,3.528915,0.864373,0.592
"4320","LYPLA2","hurdle",0.000145563857545517,1.22266,2.75301,1.53035,0.592
"4010","LOC253039","hurdle",0.00808900600588044,3.851116,4.909495,1.058379,0.592
"3944","LOC100507246","hurdle",0.00337595089892226,3.962873,4.573491,0.610618,0.592
"3832","LOC100216479","hurdle",0.00027168201533315,1.54507,2.228907,0.683837,0.592
"3560","KIT","hurdle",2.29463584298422e-09,3.197146,7.376306,4.17916,0.592
"3495","KIAA0664L3","hurdle",0.000104271872638091,3.220451,3.892947,0.672496,0.592
"3366","JOSD1","hurdle",0.00813693460899892,4.09702,5.111586,1.014566,0.592
"2945","GTF2IRD1","hurdle",0.00094732568959781,2.219847,3.195516,0.975669,0.592
"2895","GRID2","hurdle",0.000273133999334083,0.3942789,2.2028304,1.8085515,0.592
"2816","GPATCH1","hurdle",0.000726338345885492,2.823855,4.040785,1.21693,0.592
"2481","FEM1B","hurdle",1.61724724377814e-05,1.127247,4.304255,3.177008,0.592
"2459","FBXO42","hurdle",0.00163709354915042,3.11627,4.364305,1.248035,0.592
"1964","DNPEP","hurdle",0.0006241878861583,2.61952,4.179134,1.559614,0.592
"1952","DNAL4","hurdle",1.05498631181107e-07,-0.8848111,1.3507132,2.2355243,0.592
"1881","DHX57","hurdle",0.00568841802874035,4.41243,5.304784,0.892354,0.592
"1799","DCLRE1A","hurdle",3.25432961534533e-05,0.2441754,3.9567519,3.7125765,0.592
"1624","CPNE4","hurdle",6.73359766165923e-07,0.1628294,4.4614826,4.2986532,0.592
"1595","CORO2A","hurdle",6.62551145796339e-06,0.9877697,3.7683662,2.7805965,0.592
"1350","CDON","hurdle",1.22138709459034e-05,0.1289618,2.9946212,2.8656594,0.592
"1338","CDK5R2","hurdle",6.16606911003037e-09,-2.4906826,-0.4172418,2.0734408,0.592
"479","ASPHD1","hurdle",1.73209411227038e-08,-0.3079439,0.6677102,0.9756541,0.592
"315","ANKRD54","hurdle",0.000421613398212276,3.388207,4.901042,1.512835,0.592
"209","AKR1A1","hurdle",0.0121224744713505,4.868089,5.623471,0.755382,0.592
"8164","ZCCHC3","hurdle",0.000597480002455626,2.300029,3.2659,0.965871,0.591
"8158","ZC4H2","hurdle",0.000387356363533577,2.555625,3.895909,1.340284,0.591
"8105","XXYLT1","hurdle",0.000148209465638179,1.742762,2.869103,1.126341,0.591
"7882","ULK1","hurdle",0.000401720451845784,0.4638534,3.1278349,2.6639815,0.591
"7870","UBXN11","hurdle",1.46503012943346e-05,1.714495,3.263608,1.549113,0.591
"7564","TMEM63C","hurdle",8.26087961813661e-06,-2.248865,1.517708,3.766573,0.591
"7241","SYMPK","hurdle",0.000139937854741667,0.8748097,3.2217236,2.3469139,0.591
"6702","SLC27A4","hurdle",9.55373080886919e-05,0.3211784,2.8027852,2.4816068,0.591
"6687","SLC25A32","hurdle",4.06993104098059e-05,4.567447,5.609103,1.041656,0.591
"6444","SAP30BP","hurdle",0.0193021425167105,4.995719,5.805997,0.810277999999999,0.591
"4786","MRPS2","hurdle",5.91053691253103e-05,1.334613,3.933155,2.598542,0.591
"4732","MPHOSPH9","hurdle",0.00439472508478501,4.52291,5.07644,0.553529999999999,0.591
"4724","MORC2-AS1","hurdle",0.00128650110318323,3.893337,5.467195,1.573858,0.591
"4378","MAP1LC3A","hurdle",1.1899967643666e-05,-1.25779776,0.08655561,1.34435337,0.591
"4321","LYRM1","hurdle",5.7487268494656e-05,4.426003,5.27466,0.848657,0.591
"3372","JRK","hurdle",4.96551012035281e-06,0.7184862,3.9164766,3.1979904,0.591
"3239","IGSF9B","hurdle",2.27489417177773e-05,1.855783,3.933155,2.077372,0.591
"3224","IGFBP3","hurdle",3.50214439276238e-06,0.02231016,3.7414464,3.71913624,0.591
"2986","HAPLN1","hurdle",0.000149582716645151,3.79418,5.394178,1.599998,0.591
"2923","GRPEL2","hurdle",0.000563426806206632,4.397394,5.190006,0.792612,0.591
"2797","GNPNAT1","hurdle",0.0047153746081767,4.112267,4.619467,0.5072,0.591
"1106","CACNG4","hurdle",6.77233321808375e-05,-0.9925249,1.5594077,2.5519326,0.591
"1015","C6orf130","hurdle",0.00214718219489332,3.021387,4.377611,1.356224,0.591
"125","ADAMTS6","hurdle",1.45085110376105e-05,1.557854,4.664891,3.107037,0.591
"8296","ZNF441","hurdle",0.00174949896357643,4.518421,5.416783,0.898362,0.59
"8242","ZNF233","hurdle",3.33425030925715e-06,2.339434,3.929545,1.590111,0.59
"7725","TRPM2","hurdle",8.97870012380301e-05,1.304587,2.348336,1.043749,0.59
"7578","TMOD1","hurdle",0.000399382496035413,3.094499,4.619019,1.52452,0.59
"7345","TCEB1","hurdle",0.038859945352661,5.028236,5.612708,0.584472,0.59
"6700","SLC26A8","hurdle",2.73713909593828e-06,0.6897348,3.8097914,3.1200566,0.59
"6266","RNF214","hurdle",0.00404014205759663,3.230467,4.032733,0.802266,0.59
"6095","RAPGEF1","hurdle",0.00305901616981615,1.786868,2.849373,1.062505,0.59
"6047","RAB39B","hurdle",0.000169373140953006,2.223864,3.509706,1.285842,0.59
"6006","PVR","hurdle",0.00034289233741425,0.8385982,3.4705021,2.6319039,0.59
"5792","PPL","hurdle",9.74524893122056e-07,-1.762166,3.034146,4.796312,0.59
"5698","PLXNA1","hurdle",0.000622084968467618,-0.3671275,2.948287,3.3154145,0.59
"5587","PI4KAP2","hurdle",3.08288834400027e-05,-1.5552916,0.5672333,2.1225249,0.59
"5529","PET117","hurdle",0.00286185383609035,2.073954,2.647991,0.574037,0.59
"4821","MTERFD3","hurdle",0.000590151016311399,4.536295,5.08879,0.552495,0.59
"3435","KCNK3","hurdle",9.41343080323477e-07,-1.930503,2.144246,4.074749,0.59
"2825","GPKOW","hurdle",0.00226581325710211,2.082826,3.72738,1.644554,0.59
"2662","GALK2","hurdle",0.00183188217078299,4.278854,4.993826,0.714972,0.59
"1781","DBNL","hurdle",0.00166570206987875,2.156119,3.408587,1.252468,0.59
"1745","CYP2E1","hurdle",1.06445418119546e-06,-1.280376,4.336229,5.616605,0.59
"1658","CRTAC1","hurdle",7.56990402086386e-05,1.486096,3.011108,1.525012,0.59
"1391","CEP89","hurdle",0.00146835637516404,3.527954,4.042123,0.514169,0.59
"1352","CDR2","hurdle",0.000203379473701827,1.827027,4.98655,3.159523,0.59
"1339","CDK7","hurdle",0.0019374408377569,3.816959,4.6439,0.826941,0.59
"1077","C9orf95","hurdle",0.000779370783084193,3.037451,4.594612,1.557161,0.59
"888","C1orf131","hurdle",0.00615090076341625,3.980785,4.617674,0.636889,0.59
"607","BAI2","hurdle",0.000136344539621536,-0.6908692,2.2123674,2.9032366,0.59
"241","ALKBH8","hurdle",0.000663926446348379,4.16492,4.748387,0.583467,0.59
"8411","ZNF791","hurdle",0.0100984239849566,5.551077,6.255457,0.70438,0.589
"8239","ZNF223","hurdle",7.51609600215383e-05,3.396238,4.31536,0.919122,0.589
"8028","WDR3","hurdle",0.00175415307157129,4.337952,4.948893,0.610941,0.589
"7511","TMEM191A","hurdle",3.93690858409694e-07,-2.6579773,0.4268281,3.0848054,0.589
"7482","TMEM132D","hurdle",3.61191272132756e-07,-1.860794,2.124177,3.984971,0.589
"6979","SNPH","hurdle",0.000184861227865279,0.3942789,2.2147418,1.8204629,0.589
"6099","RARB","hurdle",0.000528425219969364,2.769937,3.359002,0.589065,0.589
"5814","PPP1R3F","hurdle",0.000458020942268333,2.122092,3.284103,1.162011,0.589
"5805","PPP1R11","hurdle",0.000108014948663073,0.1628294,1.1117449,0.9489155,0.589
"5350","P2RX6","hurdle",2.59946742113473e-07,-3.065153,1.923969,4.989122,0.589
"5127","NPLOC4","hurdle",0.000443170868524974,3.094499,4.555338,1.460839,0.589
"4933","NARS2","hurdle",0.000122292066220132,2.726718,4.209215,1.482497,0.589
"4817","MTBP","hurdle",2.30546440838862e-05,1.011198,4.20981,3.198612,0.589
"2764","GLT1D1","hurdle",4.58722404329799e-05,0.574935,3.005633,2.430698,0.589
"2667","GALNT14","hurdle",1.95038635610925e-07,-2.340787,2.444538,4.785325,0.589
"2255","FAHD2B","hurdle",0.000666893756521863,2.945588,3.796379,0.850791,0.589
"2115","EIF4H","hurdle",0.0244494979457003,4.268197,4.816021,0.547824,0.589
"1967","DOCK11","hurdle",0.0019925441650692,4.265277,5.697281,1.432004,0.589
"1461","CHSY3","hurdle",3.08359924985217e-07,-2.438968,3.38348,5.822448,0.589
"1454","CHRNB3","hurdle",3.46486226554514e-07,0.3360979,3.1478535,2.8117556,0.589
"1436","CHMP7","hurdle",0.000633229957662463,3.863398,4.368043,0.504645,0.589
"1149","CAPN5","hurdle",0.00110110742226609,2.073954,3.357928,1.283974,0.589
"1141","CAMSAP3","hurdle",1.91579879424704e-05,-0.8848111,2.4138669,3.298678,0.589
"1079","CA7","hurdle",4.25278654536993e-08,-3.231163,3.545044,6.776207,0.589
"958","C2orf55","hurdle",4.56125837850309e-05,-0.0730148,2.8539499,2.9269647,0.589
"756","C11orf63","hurdle",4.5575939139453e-07,-2.544321,3.052846,5.597167,0.589
"723","BTN3A3","hurdle",6.09350552675131e-05,2.187307,3.533677,1.34637,0.589
"702","BRSK2","hurdle",0.000217664660052788,-1.2803756,0.2436319,1.5240075,0.589
"690","BRAT1","hurdle",0.000180833507162665,-0.4415097,2.6409458,3.0824555,0.589
"466","ASB6","hurdle",0.000543358318096397,3.00631,3.610523,0.604213,0.589
"396","ARHGAP33","hurdle",6.43987176751917e-05,-1.3033124,0.3424853,1.6457977,0.589
"189","AIDA","hurdle",0.00121432430734113,1.797687,2.922372,1.124685,0.589
"8151","ZC3H12B","hurdle",0.000175708969011359,2.128533,4.123987,1.995454,0.588
"8087","XAB2","hurdle",0.00108320327161348,0.5106332,1.5631395,1.0525063,0.588
"8031","WDR36","hurdle",0.0224445203952975,5.234404,5.895484,0.66108,0.588
"7979","VPS11","hurdle",0.0100722999421021,4.141225,5.462207,1.320982,0.588
"7866","UBQLN4","hurdle",0.000186065927186166,2.465211,4.053443,1.588232,0.588
"7785","TTC5","hurdle",0.00135791068665618,3.749604,4.377611,0.628007,0.588
"7526","TMEM22","hurdle",0.00336330288797197,4.864878,5.506729,0.641851,0.588
"7427","TIGD7","hurdle",8.29398417981558e-05,2.979241,4.231078,1.251837,0.588
"6372","RS1","hurdle",4.51864264228854e-08,1.330894,2.815356,1.484462,0.588
"6322","RPL7","hurdle",0.0102639746143891,3.351966,3.934596,0.58263,0.588
"6219","RIMKLA","hurdle",0.00586903203068577,2.390353,4.501901,2.111548,0.588
"5707","PMPCA","hurdle",0.000373636202533235,3.571945,4.116388,0.544443,0.588
"5489","PDE3A","hurdle",9.55870411989724e-07,3.478384,5.318372,1.839988,0.588
"4943","NCAPH2","hurdle",0.00133456199261484,2.277019,3.389798,1.112779,0.588
"4937","NAT9","hurdle",0.00113161775898227,3.244373,3.818404,0.574031,0.588
"4823","MTHFR","hurdle",0.00234404100895513,3.283383,3.915017,0.631634,0.588
"4193","LOC728758","hurdle",0.00768472161326865,2.395704,3.62577,1.230066,0.588
"4028","LOC284023","hurdle",0.00116352121830608,3.188952,4.155846,0.966894,0.588
"3744","LINS","hurdle",0.000546066437205898,3.324175,4.767113,1.442938,0.588
"3139","HSD11B1L","hurdle",4.45652389050601e-05,0.06771023,1.89760994,1.82989971,0.588
"2887","GREB1L","hurdle",8.69834071972845e-05,0.1877184,3.1240503,2.9363319,0.588
"2313","FAM173A","hurdle",6.27892727474834e-08,-2.389042,1.059863,3.448905,0.588
"1944","DNAJC2","hurdle",0.0157421439958076,4.059868,4.700482,0.640614,0.588
"1716","CXorf57","hurdle",0.0018585280385927,3.237437,4.759001,1.521564,0.588
"1520","CMTM4","hurdle",0.000490895068099236,2.864299,4.854597,1.990298,0.588
"1236","CCDC65","hurdle",0.000721021340316266,0.9591439,3.5384244,2.5792805,0.588
"797","C14orf43","hurdle",0.0169838659917063,7.97696,8.595595,0.618634999999999,0.588
"7373","TDRD6","hurdle",0.000157249966236219,3.038591,4.344926,1.306335,0.587
"7295","TARS2","hurdle",0.00843284373936965,4.102484,5.059697,0.957213,0.587
"6716","SLC31A1","hurdle",0.00301806692134662,3.773092,4.86446,1.091368,0.587
"6594","SH3BGRL3","hurdle",0.0216532872221569,5.275858,5.872547,0.596689,0.587
"6501","SCRN3","hurdle",0.00306633163896573,4.001405,5.014757,1.013352,0.587
"6307","RPL23AP53","hurdle",0.000438874376182224,1.417611,3.756192,2.338581,0.587
"6120","RASSF5","hurdle",0.000890746152249137,1.079284,1.607183,0.527899,0.587
"5923","PSD","hurdle",0.000128563297104318,-0.08290308,1.66389212,1.7467952,0.587
"5505","PDP2","hurdle",0.00238501331894482,3.289145,4.06138,0.772235,0.587
"5500","PDK1","hurdle",0.000488195061192411,4.044621,5.8778,1.833179,0.587
"5467","PCP4","hurdle",6.58971906053407e-05,2.767187,4.836209,2.069022,0.587
"5402","PARP6","hurdle",0.0136768405761217,4.675141,5.197828,0.522687,0.587
"4949","NCLN","hurdle",0.000370216770845906,1.83755,2.640946,0.803396,0.587
"4520","MGAT5B","hurdle",2.72230425972268e-05,-1.423808,0.708718,2.132526,0.587
"4390","MAP3K15","hurdle",0.000316509988889293,0.8068195,2.1956361,1.3888166,0.587
"4096","LOC392232","hurdle",1.59634437434832e-07,-3.065153,2.949713,6.014866,0.587
"3192","ICMT","hurdle",0.000876652514980728,2.425655,3.90623,1.480575,0.587
"2369","FAM50A","hurdle",0.000984504332609063,1.270043,2.744818,1.474775,0.587
"715","BTBD6","hurdle",4.04884331254436e-05,1.901635,2.861546,0.959911,0.587
"8437","ZNHIT1","hurdle",0.0110210866167877,2.802529,3.654915,0.852386,0.586
"7922","USF1","hurdle",0.00101522234033012,3.935582,4.758595,0.823013,0.586
